# time x y z qx qy qz qw
0 -8.088052026383801 -2.6671759831317035 -5.672811959690321 -0.7100372473666804 0.0075307904238047845 0.00539273900357838 0.7041031976305598
1 -7.073279274412284 -2.6287708506808447 -5.64628174380692 -0.6972944765204976 0.0020361828097518837 0.011427920928410551 0.7166907768325366
2 -6.041855450269161 -2.6261612143829716 -5.598961875056343 -0.6949908061544886 0.002883105720013946 -0.0076173321314124435 0.7189724913467418
3 -5.020493559300642 -2.7233335149437914 -5.68151635196276 -0.7123011202316307 -0.008470281433314656 0.013984805766930468 0.7016835423870684
4 -3.984860733916467 -2.6414481207012814 -5.746408043193444 -0.7152410368635285 -0.014259167331415579 0.02661218491620307 0.6982254127052274
5 -2.8989865181685897 -2.520064646544142 -5.690126249304346 -0.6878827776487805 -0.03450710910290658 -0.038170681149645704 0.7239955405498925
6 -1.9028941635330923 -2.589983359265913 -5.664912246823495 -0.7105991950934643 0.021082027707301703 0.003141830731058787 0.703274100859634
7 -1.921177123955434 -2.5622416125331617 -5.673291010277976 -0.5353117782901726 0.4121550776495452 -0.511504865174513 0.5309729417722848
8 -1.8364194164767564 -2.5591422265120047 -5.686745080793312 -0.01035015795471738 0.0077401442640798795 -0.7119837742981482 0.7020769683825614
9 -1.8786435220701474 -3.6198837491051226 -5.726366041825519 -0.0030568437446308475 0.01149370022477492 -0.7127399150880946 0.7013275725377401
10 -1.8526364335163683 -4.610731608519207 -5.736068532572368 -0.0014791228050875284 -0.01877579258629479 -0.7442837297304549 0.6675979414790063
11 -1.9066264273092066 -5.57363681134559 -5.703953571849821 -0.0405407282995661 -0.018698959685533773 -0.726227389701981 0.6860033357807138
12 -1.8388611382948334 -5.576983596602249 -5.688093245232479 -0.448420460446131 -0.4950017437054817 -0.5349075776571575 0.5174613490365847
13 -1.889554285332772 -5.713246469243681 -4.7800683448779 -0.5101500851476205 -0.4951337387954114 -0.494543956092341 0.5000157465749342
14 -1.8911110720616224 -5.695676241430223 -3.76627644751522 -0.5097928100983468 -0.493313095498521 -0.49515284678756144 0.5015746593478092
15 -1.955333104719886 -5.731478232329274 -2.6977361976803453 -0.5106027416930089 -0.49423908200870675 -0.49120744070479366 0.5037140261964312
16 -1.9248465864468425 -5.719644450741178 -1.6944798873700424 0.5402998802452101 0.495617625497594 0.4766729311891143 -0.48499703645972486
17 -1.8767251415943131 -5.699852032318026 -0.6427306984648008 0.555984421492762 0.5196933650850621 0.461308192668534 -0.45606455762404285
18 -1.8680652336902526 -5.573094442910835 0.35221559263015545 -0.5068578147267817 -0.4953074440480979 -0.4957497222338598 0.5019939286744239
19 -1.892526261009461 -5.586596310306679 0.4111033461373072 0.008190748387801542 -0.7211210639356991 0.019332478917425056 0.6924908505157309
20 -1.9220026681369733 -5.592863507316408 1.3905639366895823 -0.001353180911898108 -0.7039440026241087 0.002826852619436604 0.7102485614031445
21 -1.9045183674098793 -5.61784459683361 1.3638533284762027 0.009687240010371743 0.9997787996457421 -0.010380852930171826 -0.015516025661967437
22 -2.922346660430936 -5.5773103179803725 1.4004758098321033 0.013856686793208478 0.9995397639007306 0.004392468474340346 -0.026626280872267673
23 -2.931114616823195 -5.5533759260790925 1.4202552131587816 0.005496858332429154 0.70756418565712 0.7066141758432293 -0.004371981386454465
24 -3.912172801155895 -5.5859216377566785 1.364585401930334 -0.004159453335639184 0.7111625898216101 0.7029671955582883 -0.008221420502813447
25 -4.922059917670087 -5.563417417058366 1.395175476502407 0.0038556761404314 0.7094361223989138 0.7047343633429805 -0.005916005464626344
26 -5.879912949481998 -5.608576342784732 1.423436474348852 -0.037563660374577534 0.6959912607825396 0.7168722747487644 -0.016711613630257388
27 -6.913903202025279 -5.572874464211867 1.4330102009462924 0.0011245412289121986 0.7095898989502859 0.7046023095487348 -0.004061538296907923
28 -6.9070188463554265 -5.644144872645353 1.3884114518676365 0.5047911573412617 -0.501774055080725 -0.4988683578225807 -0.49450889444105683
29 -6.84958011763796 -5.652801106050968 0.42387403405515556 0.5050831444699623 -0.4964480503710809 -0.4985410422439634 -0.49988716692208757
