# time x y z qx qy qz qw
0 -8.08568050913633 -2.6681510252281875 -5.67650580822129 -0.7071191529728874 -0.00036029405311198474 7.836154666455507e-05 0.707094313049235
1 -7.029596068172781 -2.630194116429947 -5.71272192863909 -0.6558534612366006 -0.01595102383308792 0.010466520141765532 0.7546471057247675
2 -6.014518312973991 -2.5962427015638765 -5.658346741232553 -0.5412623527309789 0.0015291212953811202 0.058540475373151435 0.8388121005608319
3 -5.03416705362421 -2.5262444187565984 -5.826668859652723 -0.5253163615639815 0.09305155815536552 0.0580096622586259 0.8438121869721243
4 -4.032344138014566 -2.445904501223628 -6.144516100094066 -0.48448574198358335 0.07901213220927963 0.09590711758761383 0.8659286769557846
5 -2.98783815450213 -2.3399205021960365 -6.3103983408932764 -0.4634091330895568 0.08357774170733975 -0.08617026098144748 0.8779757528443912
6 -2.0623165556840903 -2.575111950962781 -6.4896573685944325 -0.4892409163083194 0.029995209375890185 -0.1544693462172019 0.857836134878639
7 -2.0648871675254066 -2.582106801292822 -6.470711254759917 -0.29487191433966015 0.42610433038092876 -0.5183073556282508 0.6803257593726215
8 -1.9708346478996295 -2.621701957933867 -6.431691642270254 0.27244429090789635 -0.04904364746037696 -0.6304299535420196 0.725208178851068
9 -1.764848060293801 -3.5971622918463737 -6.780007673281573 0.37521549734618603 0.012893071114717679 -0.5385715540741559 0.7543127868534601
10 -1.3378711021789733 -4.3764559770415925 -7.190919384419949 0.49432565426467107 0.11575728221261382 -0.5797698680114578 0.6372670549279413
11 -1.0275583363643657 -4.975387194490482 -7.873309081363006 0.5584574739994173 0.0932298434678273 -0.48047232573081505 0.6697609948541166
12 -0.9897897260889112 -4.990108534320559 -7.828612060777404 0.18469579493927493 -0.3342483567870703 -0.6671143609593901 0.6396279611763672
13 -1.1260725665971059 -5.870649042852714 -7.689704379920873 0.0321685584616047 -0.22293311908299365 -0.6588687596771174 0.7177450562588129
14 -1.1269464318651925 -6.808820864539483 -7.398333502565013 -0.18999912907960634 -0.2651441434724742 -0.6109064055726023 0.7213821995042583
15 -1.082772625808574 -7.668919131261049 -6.769351203203704 -0.28196466214466415 -0.17061222308039228 -0.6378502110951257 0.6960851290202333
16 -0.9509755376479413 -8.458552199466823 -6.16182011258945 -0.30271991785029095 -0.09925814040418686 -0.6254870990888164 0.7122319578435617
17 -0.7665186095778784 -9.355194757085354 -5.64364842605162 -0.39449075206777057 -0.1940149895842824 -0.6079164172059094 0.6611904869560258
18 -0.6141031540699284 -10.02003080278777 -4.904242772892398 -0.34212399254260895 -0.13780950264093478 -0.6285836285661144 0.6847206266845043
19 -0.6350341663488818 -10.071426408552297 -4.841679336851202 0.30737730139929015 -0.5491956438874915 -0.2931335826734171 0.7197055245227316
20 -0.4160385314682885 -10.82917543310303 -4.206340814755706 0.31817732986935776 -0.4924449185418983 -0.3490393896516704 0.7310490362698375
21 -0.4583075656286409 -10.870292954963947 -4.232001840326839 0.14681651991363429 0.9166825362105792 0.36368873117902645 -0.07660642336240239
