# time x y z qx qy qz qw
0 0.6627087127809616 -2.25934315000627 -12.84594002066843 0.0003590044715167236 0.0003416553288099722 0.00011694258546150022 0.9999998703559202
1 1.7523286942109322 -2.1708097338830736 -12.853848714668587 0.025199588679384145 0.004971614066270486 0.004084165047011745 0.9996617344781357
2 2.7347635389320093 -2.180124496018579 -12.968165906778632 -0.03283769385434469 -0.072533768619463 -0.007439299669001024 0.9967974694453339
3 2.718195609598132 -2.2018899423706597 -12.908348080462211 0.6948617197685647 -0.19549150573172464 0.009304314850922875 0.691999776959625
4 3.6048657571354124 -2.4690451488665413 -12.569721883944894 0.6411594352095406 -0.03166800850962918 -0.1483451504719823 0.7522668623635245
5 4.463640626598973 -2.720069596490837 -12.720248918583765 0.5886790330169339 -0.061645549660151684 -0.19008992917415746 0.7832768610905785
6 5.466291281424791 -3.0397288035756964 -12.911221545585343 0.559862027366383 -0.15489783199778678 -0.04072738354924246 0.8129590716541771
7 5.496948412719035 -3.03877803927763 -12.91845773906903 0.40905414168947213 -0.47694260023296164 0.5584317292358933 0.5416220721428558
8 5.4154690563926655 -2.7491839267867313 -12.001639251535233 0.4187710994497231 -0.38678026572548874 0.48732988920525394 0.6614691008642698
9 5.3952106723805215 -2.8484933092852547 -12.027726346453505 -0.0987601789495544 -0.6447718063538619 0.04134165817189633 0.7568398853685159
10 5.384731343231781 -2.83676794088561 -12.06608302124749 0.5354200534010608 -0.3779985773736918 -0.5033345643218459 0.5631134506282085
11 5.672336355545111 -3.8044703446757855 -12.1893403918583 0.5288565517135227 -0.28786066371168123 -0.3813778029407835 0.7014256606520848
12 6.257387904705334 -4.605411261615403 -12.140453018023525 0.5344743908359634 -0.36117041047854137 -0.3674014408821674 0.6700068965115171
13 6.249573762558808 -4.559068941871846 -12.146577430509515 0.8224495694649165 -0.5650213360657628 0.03859409970071901 0.0532737359843015
14 6.600611440689497 -5.406841614755129 -12.006534669675206 0.7945156878629827 -0.5888147563895858 -0.10372643081614576 0.10622067570688555
15 6.861219858689445 -6.297907809804334 -11.955033541118116 0.8388717636715888 -0.535939131865508 -0.059045553300450006 0.07467953993703745
16 7.318924646391405 -7.166484599969778 -11.992029792730436 0.7301039388810027 -0.6601099616358979 -0.1721018262029074 0.039799979863347275
17 7.352776664831257 -7.182797523327171 -12.014439985729755 -0.1255745005858639 0.9849833416455627 0.11590609463690059 0.0245894023793457
18 6.415585101829315 -7.424170418732399 -12.102894459014625 -0.15455219123489003 0.980520213682861 0.12118986134775953 0.002597739463769154
19 5.493746636479981 -7.718334846819527 -12.199437537883945 -0.2665315361279427 0.9626426480142926 0.047733268558199746 -0.00126789039775858
