# time x y z qx qy qz qw
0 0.6627225853103127 -2.259382158351448 -12.845881363510864 0.0 0.0 0.0 1.0
1 1.7526734939272326 -2.1720305348730995 -12.851599891759983 -0.01188441641930971 -0.01969882414467973 -0.0005928962534673564 0.9997351476504776
2 2.65884229526722 -2.1944495419428645 -12.805230976289193 -0.0998821036309929 -0.07249820843684614 0.0041775985488406225 0.9923457677735417
3 2.6127801133005595 -2.2104392391464516 -12.898333947343671 0.6664925322077437 -0.04444823760191464 0.013862416659394017 0.7440563769565818
4 3.566109948300386 -2.247162922962354 -12.832211956196483 0.690128452831289 -0.055676208846187465 0.06363308943356541 0.7187306228973043
5 4.519967009264329 -2.240306930535336 -12.693276906325297 0.6886888027313621 -0.08128303384228255 -0.11119474320842786 0.7118542902059727
6 5.502859538729153 -2.50379847585979 -12.66583695831762 0.702915847710998 0.09574416541815875 -0.08602342364811544 0.699530082561834
7 5.511012372179056 -2.4644937202693877 -12.68480458014287 0.6777086829471127 -0.30671165410353796 0.4487177839570015 0.4952688690558687
8 6.084427085857936 -2.4523293730613998 -11.778546958516152 0.7403610535467786 -0.24336139948751212 0.48940375826871535 0.3913115140435309
9 6.1436741768953915 -2.4294461318042093 -11.736962754448781 0.2637769021080444 -0.3831368622743446 0.354942227655747 0.8109524682172371
10 6.1321738469504945 -2.392218618085755 -11.741888155021108 0.2919683136587911 -0.0003337580648659237 -0.38506117517803107 0.8754897394003596
11 6.868933131089975 -3.0332965925735187 -11.90497503207291 0.35372496256765756 0.024915940152918425 -0.25079525863627256 0.9007550083282194
12 7.811455495106741 -3.4734581885128915 -12.155606091051498 0.28379737520887416 0.04878551693568383 -0.26742880511910255 0.919543831121954
13 7.794901378775423 -3.4264415287530503 -12.19214108426859 0.8295744764559058 -0.05387142195189486 -0.11577661602249958 0.543598963475989
14 8.726845233647941 -3.574868413652523 -12.375307660403898 0.8711070538412885 -0.028054349419010614 -0.04693810561865795 0.48803920792038663
15 9.655041227388981 -3.6589170513317915 -12.44570599627384 0.9173339268486167 0.010962840297474985 -0.12093170913518561 0.37914878940958197
16 10.594647610724461 -3.723625356593411 -12.651595287628318 0.8718244705939735 -0.20816191765186648 -0.04209717436007589 0.44138252845341835
17 10.516112079883353 -3.6486965938195315 -12.698502205152089 -0.38889862946798825 0.8024553157785298 -0.406487796811322 -0.1989748557486039
18 9.928883680996096 -4.116554452076741 -11.952082462085254 -0.4264642261417256 0.7977290678423523 -0.3937027451509918 -0.16356878247784323
19 9.302958123738568 -4.694096458026357 -11.399936219913247 -0.43662951387677473 0.7669984500478678 -0.45952749865446 -0.0995114225417112
20 9.28479792497925 -4.6366693938597106 -11.50881200383945 -0.2192523282813407 0.940397282145436 0.16684641082356005 -0.19935807852200044
21 9.30783324605012 -4.6903921399175 -11.442742808412156 -0.12496007546773853 0.6497617663693741 0.3693924607701868 0.6524904876163283
22 9.373086800722136 -4.692581307637507 -11.451461882798345 0.32663389589775504 0.7703046412677814 -0.26796993472354763 0.47763288389329583
23 9.140167831678701 -4.433460524154491 -12.427706115105178 0.38645045496640795 0.7175346328450628 -0.2630918600544232 0.5163165402127452
24 8.984520250537011 -4.168375322533742 -13.371224411692827 0.4615647133511869 0.7684722194516911 -0.26719730603328945 0.35357327807483035
25 9.008211822833912 -4.189291146411383 -13.29946342263067 -0.30784618459518553 0.8339681941463004 -0.44721338282864465 -0.09863046183358119
26 8.197342689925684 -4.566905755078082 -12.851076269712648 -0.23807387145077344 0.8774209521104086 -0.39609080066562524 -0.12870657387316495
27 7.391435131230373 -4.923685895132051 -12.455082788149292 -0.12871585462770138 0.9062366637752983 -0.35647899126305366 -0.18732342828635418
28 6.5389857352959915 -4.906679074553851 -12.04432073797895 -0.14728386497082996 0.9173909896505604 -0.33776009327038137 -0.15039732252005955
29 6.569775237180878 -4.930760193088855 -12.069577113088272 0.2963753433496552 -0.31816937484387064 0.8858698993001446 0.1617542156476488
30 5.764477246868918 -4.902549479713125 -11.409944467744207 0.34138813703125076 -0.24264124629831282 0.8932868252406205 0.16315027839592025
31 5.100223666077358 -4.820143047995693 -10.748563000137182 0.4113480282404922 -0.15432057011968744 0.8825624243805161 0.16751575559385276
32 4.575971914778363 -4.663752672750096 -9.99160487469002 0.4873789988064934 -0.20965554744311118 0.8246328378146673 0.19618090056485568
33 4.113448885248029 -4.624846304697863 -9.131911886378433 0.4632948679957257 -0.1311515249192102 0.8037844649866039 0.34941047014419513
34 4.138936368384973 -4.681473922271611 -9.088808565853059 0.5298968529290555 0.5926740574989232 0.5995587698907172 -0.0920655650652066
35 3.741044662101183 -4.067596589502037 -8.347777747559224 0.6445081851635467 0.5752492829579896 0.4873253799834423 -0.12732413650798394
36 3.6108057598973 -3.546348325513009 -7.5354569838084515 0.6742647158279494 0.5335972643131645 0.4624709591442198 -0.21624445531663158
37 3.628754047207014 -3.5922581813791075 -7.526556705772789 -0.294415287026855 -0.7057834824653471 0.13722573672929975 0.6295700213821191
38 3.630808487518232 -3.585716018790254 -7.4528429397137 0.21574453500355323 -0.41314791911666526 0.5952207309726781 0.6545803036801678
39 3.61756974754497 -3.0100452939278366 -6.721703864399657 0.2565763848814636 -0.29670749551466113 0.572250753654587 0.7201821268042783
40 3.644437106822282 -2.9767564143334586 -6.849200024061002 -0.5706079667403384 0.6796152034399701 -0.37001821882576447 -0.27498407459835505
41 3.532136716011133 -2.902395402573671 -6.867312403379781 0.0717784342584741 0.8796593232509713 -0.46880572732748277 -0.03561630831508425
42 3.566141441951065 -2.848812822850077 -6.965294373227612 -0.6010892726719247 0.6753696020872095 -0.3517089175472024 -0.24262816030518028
43 3.4506326869582593 -3.4284821618004306 -6.136725928809223 -0.42705531301966343 0.7331866070204517 -0.41030509377756486 -0.3342317892237345
44 3.021867337412098 -3.814098050473227 -5.307221731317761 -0.4056642851320861 0.7656822718010815 -0.4641594098813266 -0.18363874492172685
45 2.38934691346421 -4.2260980953317375 -4.628770085944238 -0.40906914613562023 0.7977195187018457 -0.4192531741198029 -0.143292634676178
46 1.8170886456402637 -4.813694683212958 -4.010828859278685 -0.5641518609698479 0.7678704019669985 -0.28916008595462395 -0.09216381197634989
47 1.7344428855245329 -4.8213418281259175 -3.931075812433548 -0.5760669979467912 0.6077577887283598 -0.08196711213947121 0.5404245337177999
48 1.9984120790749018 -5.535907135222692 -4.492528827788144 -0.4895460856928081 0.5891360479973634 -0.1392337262723825 0.6275964598380118
49 2.2284148018838805 -6.302413107702471 -5.102094384711462 -0.5005384452803893 0.5038121449542117 -0.07999567756136873 0.6994535574035095
50 2.238753984317962 -6.296380117052549 -5.0542614202526925 -0.5216728261515908 -0.17857968013372227 0.19107036739237127 0.8120707327584794
51 2.32007262530786 -6.19385676725983 -4.956340650338466 -0.44492627040390537 0.5168783165668073 -0.21060823323183658 0.7003724665222774
