# time x y z qx qy qz qw
0 9.405210261161734 -5.22913442950626 -7.580001976902739 0.0 0.0 -0.7071067811865475 0.7071067811865476
1 9.465885259798352 -6.277780784953239 -7.526776743661552 -0.01888098647453368 0.04418829117257812 -0.5764343742953768 0.815729315032685
2 9.75687098861276 -7.219796049300348 -7.600747717052671 -0.015933530806049697 0.012228016585860698 -0.581064400655082 0.8136097101791367
3 10.066588888116014 -8.237740696446263 -7.634502731362881 -0.044181766089303035 0.07744922461618067 -0.4300006252965671 0.898414743532264
4 10.592729173943317 -9.08794348636192 -7.745430732425707 -0.09483630415628155 0.0016115706792903346 -0.5468634038311221 0.831831651119481
5 11.021323418307507 -9.968920750649305 -7.620414513016865 -0.06905105437672825 0.12127995510600102 -0.4817829258752181 0.8651059684882902
6 11.554173282258484 -10.790771145927948 -7.781319448368097 -0.11193741380705909 0.2461632877065618 -0.49695203319370534 0.8245679643791202
7 11.915340009963089 -11.612040828605375 -8.084294468268826 -0.12731518113783377 0.20201637159681088 -0.5186308326318595 0.8209764245715487
8 12.264274122902185 -12.562187355583562 -8.241551090043606 -0.014054891251126177 0.1161863203382617 -0.4318167778320199 0.8943363290065689
9 12.28939409004725 -12.549269246016419 -8.258940865289116 -0.5464636434634127 0.5123842254020416 -0.3510138842625669 0.5618088153337812
10 12.527197444225695 -13.480084915063449 -8.533437575829735 -0.5736822595100537 0.4258484537550113 -0.4302286126003971 0.551765439709522
11 12.509347059711832 -13.418313520961545 -8.470992767545418 0.060000477798003375 -0.6590503270869954 0.7229833659863303 -0.19836244991835408
12 11.598931459218186 -13.840067767225868 -8.68802126227941 0.04132815876286847 -0.6732628935506341 0.7205207458659817 -0.16080707147954662
13 11.614419760019988 -13.880616597945162 -8.692290204220921 0.46115612230115266 -0.32913154992133814 0.7359264051471883 0.370701739836325
14 11.289411908195126 -13.604223560628263 -7.768532308482433 0.5203267917672879 -0.2914220669714442 0.7510056594275807 0.28341437535699754
15 11.034163924789075 -13.451571472001193 -6.802032256770426 0.5239645471022527 -0.26079957338917875 0.7665509513192473 0.2642808637255268
16 10.661535261811265 -13.384251942409525 -5.8175014856321035 0.5818259295067817 -0.2994811780858244 0.7144110315797034 0.24780332863607807
17 10.424506547928718 -13.467021739604228 -4.90082619601467 0.5895324566211984 -0.24746900757619777 0.7168604479787235 0.27806774534845
18 10.475907411915657 -13.501585497015409 -4.8874913191765925 -0.14369199835464272 0.06980338679580814 0.9502767055642767 0.2673093332874657
