# time x y z qx qy qz qw
0 0.6627226117410739 -2.259380080021861 -12.845874596584695 -0.0001342324613984972 -0.00014794234788211846 0.00019775280079535438 0.9999999604942679
1 1.7526445588351292 -2.1715491379369336 -12.85112418976984 -0.025130649602031162 -0.03373885028840991 0.019131119405039088 0.9989314995043987
2 2.76989000808266 -2.16952747052775 -12.778979953656915 0.06691939492293526 -0.0086542759415506 0.13162701718291853 0.9890001144785593
3 2.7892682079297204 -2.2022687952112614 -12.762736685365129 0.7340163909199707 0.06954241813561898 0.12910913163455276 0.6631098114711043
4 3.759100443942235 -1.9409797490815472 -12.687883635926624 0.8392348118650087 0.11282047990665221 0.1805115267691868 0.5003719202463235
5 4.682734503746887 -1.5992429788002995 -12.610858907102864 0.8774659058123281 0.17716586774803972 0.18420691056731192 0.40587393799218163
6 5.651358316872333 -1.0964223540147804 -12.389718400248345 0.7828920550493824 0.20101336206707343 0.2593423520032202 0.5285973920371569
7 5.666300364475632 -1.0685840986415922 -12.388706010705022 0.7525088679990528 -0.3012226975081129 0.5790511728888506 0.08772131590877234
8 5.8056678745910775 -1.3667767794016055 -11.42136445776431 0.693036708795793 -0.36370833070046776 0.5442081778130263 0.3020824881418983
9 5.7232061445267775 -1.2735172396649683 -11.44575692624847 0.37315601874358806 -0.6416798088770894 0.1572435400867962 0.6513647807917382
10 5.775780336522979 -1.2923521872964916 -11.453026205713082 0.782192750926269 -0.1820364480291623 -0.3337193879373588 0.4936279997143971
11 6.462471043952062 -1.884511351322039 -11.76935157650422 0.7557511501180858 -0.19209758216027156 -0.42952586785642377 0.45546267340535607
12 6.9981737564456035 -2.581673787697888 -12.220392612799264 0.7254744851116086 -0.16208167765162967 -0.45113605416857516 0.4938547983475384
13 6.9655469271273205 -2.605239131721804 -12.221834190277917 0.7889485703315099 -0.5577393877471317 -0.22349682371414348 -0.1285927623041445
14 7.333862932685036 -3.3510811655426265 -12.735064343274875 0.8334932071787207 -0.5310626072364975 -0.15251742106384272 0.00013059149477963566
15 7.752847894915605 -4.22235611867735 -13.011202603167586 0.7855372457507469 -0.5941990038626187 -0.17050080173884136 -0.028075896306525332
16 7.9740711159323965 -5.052513353480609 -13.335198662172298 0.8144327794713063 -0.5412576567009955 -0.20169557100248664 0.05530183923859496
17 7.944513006232608 -4.970058527066155 -13.30657008264629 -0.26454188167914566 0.9517830881657074 0.10304195157251471 -0.11622780276480177
18 7.083011189670981 -5.493353446678965 -13.209446983963815 -0.2221956516206389 0.9735636118251685 -0.04724518681384238 -0.02389306287895841
19 6.191968127135345 -5.937101224406908 -13.129890420072757 -0.26080966434429664 0.9534787652533221 0.042775151856310666 0.14500637771934566
20 6.100732029420493 -5.865981072232691 -13.029900513523677 -0.08348660536813447 0.6839376865482683 0.7186554115330638 -0.09377434146583707
21 6.137572291896074 -5.864452980155257 -13.070205362300817 0.3446447938206175 0.5593166471943851 0.6107503076740238 0.44200556098273436
22 6.1742160119250435 -5.9276830168816055 -13.06928512731434 0.35216810299374984 0.9223940807775272 0.055715702166671155 0.14853466771242024
23 5.464751760180978 -5.2484067757250745 -13.258965030793977 0.47124494388727917 0.8735809118129035 -0.048589977620330106 0.11146123744005035
24 4.93149008619942 -4.398876368825025 -13.409860327789053 0.37039725085738373 0.9074586149354392 -0.03983854600952393 0.1942617537977918
25 4.938587353897396 -4.4943911760144095 -13.454280647578369 -0.3545479735599466 0.907290550166801 -0.011566430417605278 0.22580037579675072
26 4.323447002650165 -5.15136660682596 -13.898555148572537 -0.3277740881275869 0.9116736933122288 0.026167338623783162 0.24643557872985286
27 3.6614272269265284 -5.729842823654938 -14.31822824302476 -0.37146240082491544 0.8511765465817771 -0.00046936140902797567 0.37082873543237904
28 3.2126993977730973 -6.32586669224514 -14.860843096993241 -0.3526411835686404 0.8392540601710622 -0.15158490428900157 0.3851218442641105
29 3.129089911674492 -6.309954864544865 -14.946210410676148 -0.03867834710538681 -0.4898680094359738 0.7488611416720025 -0.44468000774729827
30 2.5410802664599648 -6.935061982098186 -15.416509093243176 -0.12950405972560255 -0.3039606962706404 0.8769442109701183 -0.3490063673964303
31 1.849584986325293 -7.41541381257627 -15.812747012042625 0.004421600901671743 -0.32966579106826904 0.8638938706809557 -0.38077328667420435
32 1.151243055884608 -8.115357621453937 -16.111635331302466 0.03836046660742183 -0.31771617648964834 0.8990915222153938 -0.29869606706293517
33 0.3100817688261764 -8.653148922782112 -16.213079151133723 0.030859094392004124 -0.2971365723334009 0.899738461941204 -0.31816391023958046
34 0.2539647360506455 -8.624286547245706 -16.229421243111403 -0.20390915912987037 0.4480048348945154 0.8535429804283372 -0.17081306535390836
35 -0.6043065302941287 -9.106344972222898 -16.460296267875048 -0.29856576204148816 0.33766709218097685 0.8529528838717241 -0.26326944085772447
36 -1.2724370865209655 -9.861329959428502 -16.81241679257541 -0.37259829939945105 0.3561336188232954 0.8139793545725152 -0.26791223032585204
37 -1.1897409755138286 -9.912397691243 -16.771899385638243 -0.49027508489062566 0.8422575515386651 0.224098839330406 -0.0035026022252085624
38 -1.261564561882592 -9.919881645774556 -16.765448559647297 -0.22416201250491818 0.735107694657863 -0.5109922261328482 0.38503897755466643
39 -1.9138606183071678 -10.698391809371717 -17.18938010502219 -0.4081830567376355 0.5535882638225771 -0.48183713786326193 0.54291767232792
40 -1.9667854175058979 -10.678341490866492 -17.219629785903855 -0.5876309614246344 -0.03949309657376473 0.0821069312926114 0.8039829602248332
41 -1.9635321025491814 -10.673204388942835 -17.233313126913114 -0.4110296056129861 0.4893617271789774 0.6269520950874967 0.4455455462098568
42 -1.9891661938008862 -10.701925805985654 -17.172877605670713 -0.6111375608191819 0.07663753858461467 0.20330515733600182 0.76112060965149
43 -1.0942707111523802 -10.5063427951212 -17.628773368434857 -0.5923675131481457 0.17306591160755205 0.2436630230556474 0.7481826319833353
44 -0.38063226748478723 -10.364701633806375 -18.215333288075804 -0.6837404370710408 0.23441909111267886 0.2274875903873485 0.6525305361862886
45 0.36049252381965663 -10.387641141475529 -18.76295357253755 -0.6902028121235173 0.2819796193942446 0.2656646498718642 0.6111708976968108
46 1.0954465516065401 -10.426000014874035 -19.498834626277826 -0.7052652522774643 0.19792391788547936 0.34695857225185756 0.5857019684104021
47 1.1728613263035774 -10.41478647684666 -19.460873780586272 -0.17322112328100894 -0.3454172142382429 0.6776799505125435 0.6256446876866082
48 0.9424530101195947 -9.426391538319539 -19.28253316598787 -0.08027935490393695 -0.36142621081758797 0.6565578550077318 0.6571591149317603
49 0.7750936643491213 -8.500573354289147 -18.922215023959023 0.06472653225586082 -0.28184925248188053 0.7370500864101455 0.610842569751268
50 0.7760225611174265 -8.452369215562824 -18.9542148758543 -0.44985760745832276 0.6951852166327546 -0.4994799096875426 -0.2546869988940702
51 0.7762455062052693 -8.48758595388514 -18.996849005928205 0.017237995487986393 -0.2724120328789927 0.7171956329034553 0.6411902681720172
52 0.5571495651045048 -7.632202803322586 -18.648208061398297 -0.0560028606936349 -0.32432752777986085 0.5675299632372102 0.7547086028039589
53 0.6822435525564864 -6.748019584951984 -18.244273214504723 -0.10939715766859201 -0.17432139067787478 0.5400009665358431 0.8161147411893258
54 0.6713621163961937 -6.7643006362212255 -18.30454049851125 0.19292791298828985 -0.7674614058745942 0.26126007837212223 0.5527431431795127
55 0.6208787477405388 -6.773536461361162 -18.311477745106597 0.5581677088755274 0.6062753122359361 -0.5478118904706435 -0.14415681461811836
56 0.1935862855359105 -6.036385745212296 -18.691998940139506 0.46106279813935325 0.6935570027474447 -0.49788057907134414 -0.24189813785036543
57 -0.2436008779869583 -5.158704180864898 -18.78881539736721 0.4239364274932216 0.6540684505907963 -0.5804436338068669 -0.23570650258132414
58 -0.7691950500044239 -4.308735888632525 -18.95083701779192 0.4000755742137303 0.6352694387379307 -0.5662241302168837 -0.34023890060262474
59 -0.7633998200006371 -4.314545305395115 -18.949789784529905 0.07309986539272674 -0.6798408494522027 0.7147305199863647 -0.14708199378473807
60 -0.7578416102687995 -4.286720039304647 -18.902967904977494 0.5861795622403082 -0.3796123193270063 0.5620711746725692 0.44312978057125696
