# time x y z qx qy qz qw
0 -8.08568701344816 -2.668167880832618 -5.6765190431973895 -0.7071067811865475 0.0 0.0 0.7071067811865476
1 -7.029774238176761 -2.631280588776648 -5.713483470606385 -0.654279126375952 0.016367179028860045 0.0005967727112550398 0.7560757793380829
2 -6.0133380706751725 -2.656083533234884 -5.69591378809348 -0.5349189052748524 0.0589786749899436 0.031072707513961732 0.8422694150470714
3 -5.044883409698289 -2.6910940872072584 -5.930215141108615 -0.5079723580135411 0.17289735613193954 0.01766890331880602 0.843657749085646
4 -4.0769707032951965 -2.7601053170884726 -6.3416833406760995 -0.4597373747045079 0.17567995196425704 0.039087119229744435 0.8696265278198239
5 -3.0581153283139386 -2.8544758376742716 -6.6287906252345 -0.443500860672979 0.19673133078618804 -0.15556993172094574 0.8604660170011147
6 -2.244288252020943 -3.2881167939820197 -6.934860293492666 -0.476279672876273 0.1599864101377446 -0.2295291181194953 0.8335936694285739
7 -2.2462382116678583 -3.2955471682650024 -6.9161532128480445 -0.2550735841952651 0.5287687397797011 -0.5787999592549088 0.565978527546835
8 -2.1635626739442575 -3.363292495583794 -6.89408838605404 0.22277897740329897 -0.014465928437889079 -0.7622990050921997 0.6075034905060323
9 -2.344683943205832 -4.324766820718228 -7.29285691609826 0.3403029207591035 0.030498634647518622 -0.6949936194199665 0.6326512660012585
10 -2.295666830989768 -5.165269786075179 -7.793245946706714 -0.46678285199942127 -0.09845584948450387 0.7308987185980702 -0.4880648296417906
11 -2.3589237867172415 -5.7703368051057895 -8.535816424152369 0.5353952239711025 0.061854612882947364 -0.6542059145508196 0.5306039788587713
12 -2.3228898848294945 -5.803016833514479 -8.500533049312176 0.062078706190627705 -0.27530765186840317 -0.8121210405405263 0.5106969224224627
13 -2.7823480679109482 -6.565623501377055 -8.354785152225453 -0.06410613842358552 -0.12423351874491961 -0.8063230725722885 0.5747169202957707
14 -3.13113406566899 -7.444647455913872 -8.087713333684757 -0.28966113304951435 -0.11354810208003738 -0.7412732845905392 0.5947412664906028
15 -3.3488031125081155 -8.303916089105698 -7.494488529861877 -0.36898912289367974 -9.62538957754701e-05 -0.7491819612497389 0.5500667294604672
16 -3.465345584880438 -9.129139414805882 -6.93267255841141 -0.3805286053459004 0.07698122187822468 -0.7363890339619928 0.5540785708292302
17 -3.6045734090690065 -10.055957590732648 -6.454675712821475 -0.5022277674643902 0.0013712522045893796 -0.6936060055295578 0.5164069116001995
18 -3.601029907126315 -10.771175905734175 -5.747253989132161 -0.455627212933051 0.04445622278567421 -0.7210704929881002 0.520081562096167
19 -3.6258499698469215 -10.810351213145358 -5.6775861072292315 0.09939282001778564 -0.4988851700933393 -0.49321693695566643 0.7056711043325511
20 -3.607176950151143 -11.602353984885003 -5.0464393316559395 0.09843749316420478 -0.4441551998882741 -0.5466640638636953 0.7029897720676909
21 -3.557268890749236 -11.531672026140926 -5.033468642296853 0.4649522491157931 0.7282281880543361 0.4320263807127978 -0.25856588818609627
22 -3.94713186467697 -11.113382193443572 -4.216271882362629 0.4640314397930267 0.7116418612694594 0.4639278931562733 -0.25102110294581126
23 -3.9251019753807044 -11.12557166645236 -4.236353430330722 0.4019391896056144 0.20659909047132152 0.8889931664486558 0.07384344035320534
24 -4.5095016953898295 -10.843811667310701 -3.4568421898710273 0.3466787108770938 0.4015349852815226 0.8422884479058899 0.09557038005496797
25 -5.282481535762514 -10.389465567346301 -2.889823997872513 0.4179960328025248 0.3394457956900206 0.8366699523817133 0.10019610337383925
26 -5.977685086266616 -9.934628180807088 -2.221611973144873 0.5190878377987214 0.27419606444137457 0.7607930632747669 0.2766916149204862
27 -6.288599537317322 -9.227609234492881 -1.6697176244582979 0.5713512142636564 0.2023565618062512 0.7250002614841261 0.32708444276875553
28 -6.344863483137175 -9.183854596810171 -1.6890896196985004 0.136058678444499 0.5132909469219159 0.24385545157112 0.8115139916027231
29 -5.93624763289627 -8.776484451464826 -2.497014433905625 0.25276439114597377 0.6296339880031201 0.34101506009869464 0.6506765190982196
30 -5.905445636140195 -8.067036197971541 -3.1052607362765103 0.17082388321862008 0.6162871374340199 0.3570334319703539 0.6808351442243293
31 -5.977892020817132 -7.3934670813027665 -3.812680365506221 0.1517933807761658 0.5706521751494641 0.3018572062444353 0.7484631531264795
32 -5.93906915474764 -6.771156584613035 -4.598924386936546 0.2534326640005946 0.553877747768129 0.2991402086939968 0.7345110352386673
33 -5.7324226328184595 -5.970041081227275 -5.211919006136869 0.27409468269257536 0.5923517334385161 0.17325417057703674 0.7375462840999911
34 -5.521548881408196 -5.41294275928805 -6.0820359103459305 0.15010161393836394 0.518271193237368 0.2995489758719329 0.7868512482086365
35 -5.238366781594983 -4.774232561678563 -6.805790645865097 0.15506810914668667 0.461703096348417 0.32169702505623876 0.8119699233456381
36 -4.768903880251823 -4.057578282456291 -7.441449686508554 0.07030665752755155 0.5199792750068408 0.32466713416508763 0.786936960285697
37 -4.57381313690797 -3.4351565051520483 -8.269202611520766 0.04118800123771103 0.6349301760374223 0.31306044920204745 0.7050960042834894
38 -4.559426681197871 -3.4312910722450503 -8.275905218960432 0.43388365780341753 0.6138145587613161 0.6022202278049514 0.26890045772800364
39 -5.006056896844883 -2.521018804249872 -8.154023792787196 0.5233681318382859 0.5556428286741292 0.5841534723432897 0.2758832475312565
40 -5.066545211028316 -2.5934885787658404 -8.09998392867391 0.8089638835905562 0.12902225071416862 0.06963041917393474 0.5692822661847086
41 -4.995631231042077 -2.6005992402785285 -8.057825014120942 0.7220353293203301 -0.4342300415895731 0.4680675759004207 0.26649952830184115
42 -4.858071961388587 -2.933131849003247 -7.147963218527008 0.774274913680808 -0.4479894068677139 0.40150065357988884 0.19647156169230431
43 -4.887731660115987 -2.972097252382728 -7.168718912450877 0.8017516584389134 -0.4989395904037901 -0.28492147972797094 -0.16453970252730415
44 -4.519060684561 -3.7149807688901966 -7.805856003986597 0.8407587516149361 -0.40060194051056186 -0.36256764485034143 0.034460263344080325
45 -4.055846120633702 -4.403530876262957 -8.369473736978186 0.7073012003693779 -0.4959819064300514 -0.5011133924628716 -0.05111094153311132
46 -3.9939900251771787 -5.122913967076814 -9.082089091881041 0.662000448761077 -0.5951967128150294 -0.44939742837862373 -0.07441928688852226
47 -4.135448221688919 -5.883426624546745 -9.798123824959184 0.7336664440408875 -0.44956135274196024 -0.5086061561013607 -0.030788260506506418
48 -4.084838216405487 -6.444101156178327 -10.55156106679475 0.6824282797706961 -0.5147272658002137 -0.4934466061824755 -0.16080401629947552
49 -4.1653354757970975 -7.003142664540663 -11.295627795332384 0.7279669160969015 -0.49214263628639526 -0.47592495000066565 -0.0368135380574557
50 -4.264655999921047 -6.926195369935843 -11.267286665199256 0.8311157719705219 0.1817557718499183 -0.27839692274632366 -0.44576514711949106
51 -3.631799033703665 -6.340291155211467 -11.465559030422577 0.8485721800871929 0.22932603438399596 -0.36092226421606993 -0.31156049866586794
