# time x y z qx qy qz qw
0 0.6627225853103127 -2.259382158351448 -12.845881363510864 -2.5939676745736365e-19 6.139262688448578e-18 2.8757780884756232e-18 1.0
1 1.7526734939272328 -2.1720305348730995 -12.851599891759983 -0.011884416419309698 -0.019698824144679584 -0.0005928962534672947 0.9997351476504776
2 2.739584101642029 -2.19884991497305 -12.914348090036068 -0.10542947381020847 -0.11229128507039667 -0.007989111988916347 0.9880341428508278
3 2.718238149340987 -2.212308442887715 -12.851880101380466 0.6130155836096459 -0.2339769848838397 0.06586672029352947 0.7517501180273712
4 3.55758789306176 -2.3970658370439493 -12.366394753119474 0.5337333258091235 -0.09961149142851523 -0.10169572404945838 0.8335851890515902
5 4.4239561410379125 -2.6651765375514027 -12.330100181982536 0.451620570207664 -0.13748697156029052 -0.1333311245377862 0.8714120749943586
6 5.287218839498892 -3.0469689851592756 -12.290864653003029 0.48986331746424017 -0.15022664494323967 -0.1681877434070436 0.8421275249744978
7 5.314258664397541 -3.0744703425076585 -12.300359732351495 0.20128287166598252 -0.29784562143902615 0.4393326813676127 0.8232617970280411
8 5.778406153893308 -2.4126098563377942 -11.681877056266048 0.0060428139035746675 -0.21195535786900577 0.5287153016746864 0.8218871823101963
9 5.831769349921577 -2.422897486871505 -11.73405926761453 -0.5743640331200547 -0.5089102707982187 0.2882668693507942 0.5727289985401828
10 5.839953080993742 -2.429432381059467 -11.779096979843219 -0.052822416518821955 -0.7556278672379787 -0.14719219126638425 0.6360587845448693
11 5.649176796453765 -2.553405415850401 -10.842385529412786 0.0038280734424759426 -0.8369982013802153 -0.21166609950174378 0.5045956986159532
12 5.162149864125863 -2.773278178395118 -10.030981289720993 0.030694750131873023 -0.8110870016563002 -0.24510867292280983 0.5302050985388149
13 5.177187899549723 -2.8151347779171063 -10.073171210656353 -0.4873025751884045 0.6593340344476569 -0.4110106497424353 -0.3986039099557687
14 4.968888731458758 -3.1656191333520907 -9.111162878237856 -0.587129769609467 0.6898859949626225 -0.3273876318453744 -0.2686136372328186
15 4.7348770119316805 -3.796113954862448 -8.34698144372476 0.6042704955485206 -0.5772090012212003 0.3786629902938417 0.39787092995153056
16 4.794325542530833 -4.14979347457797 -7.43014497032495 0.7043948844896701 -0.4578369816176672 0.4307613015269608 0.32963289592333944
17 4.834139148520121 -4.073352341585309 -7.37159920828947 -0.27475399315646787 0.7706258085481451 -0.5744830191200683 -0.02480659563068905
18 3.95039542963945 -4.386448752950397 -7.038250259293978 -0.2941211948161864 0.7137495140622256 -0.6302909820521573 -0.08238708563581584
