# time x y z qx qy qz qw
0 9.405181578044564 -5.229440988180118 -7.580016569504076 0.00014091544232331364 -0.00016241203369377993 -0.7075415799436888 0.7066716821947496
1 9.464226178147001 -6.285844875495571 -7.5271370767684305 -0.009208573128358485 0.02388499828586238 -0.6206957518098382 0.7836335193973293
2 9.741998021963022 -7.282787868661173 -7.56379860797202 0.05921115824294717 -0.12409594536867757 -0.682563583797088 0.717775166160448
3 9.801904348014201 -8.262936606238485 -7.457554992004805 0.06124367749711717 -0.24756174427712804 -0.7088782264012532 0.657612389536046
4 9.685888113290869 -9.23700658356162 -7.274222325577111 0.17530716230581725 -0.18183236518530485 -0.6693990088544487 0.6986482353517266
5 9.706134575949253 -10.293072369298129 -7.1799617975863645 0.11059861570047949 -0.13568326617872462 -0.7399992567200679 0.649429824952595
6 9.546722701455387 -11.341156325223388 -7.135282605696665 0.1729095488522078 -0.23703933907072097 -0.774595386773961 0.5602826308544117
7 9.166169018693324 -12.323096401479166 -7.098540807229728 0.14159731417599328 -0.1985027198696066 -0.7010007788174162 0.6701826459405604
8 9.04721989869071 -13.341873962039545 -7.058702184758161 0.1835917873473495 -0.1277448113314925 -0.683209287088452 0.6951261675642602
9 9.0598146687608 -13.414378299925534 -6.999518264645235 -0.3382377947382443 0.2197824900207082 -0.5766579465685642 0.7104621481474107
10 9.322250941255282 -14.44219188973515 -6.8772320061062295 -0.24419965811080285 0.28792660101655937 -0.6477686462664428 0.6617103447277806
11 9.2811726107864 -14.541017389395792 -6.83156680636684 0.3483398946986175 0.7162579726140562 -0.5892758642930558 0.1356015862364081
12 8.577014686219002 -14.21010160564024 -7.517413768256935 0.24062013590053002 0.7295509387330978 -0.6203732886365159 0.15809604909415012
13 8.526030187528741 -14.205182772415514 -7.517745829385049 -0.3808397208054431 0.6233047203565416 -0.5886011276542296 -0.34641167007226414
14 8.02755541089793 -14.271042903450192 -6.689654188972214 -0.34205213965842857 0.7153378988464275 -0.5125257772998013 -0.32955932976067387
15 7.536008118153017 -14.442406753539666 -5.866618000519309 -0.3551983109559308 0.6956204614776075 -0.4967156286089319 -0.37844407481603953
16 7.033406758625884 -14.58503286886668 -5.012258860110673 -0.4408713519249752 0.6831020872754121 -0.4140428836443664 -0.40935617732639373
17 6.783099148836281 -14.755324338759575 -4.044236452559538 -0.5273521921989367 0.6936283150620517 -0.4068508199393949 -0.2743206813964214
18 6.896499404949432 -14.643112550155344 -4.098219850521063 0.12610353696996685 -0.1976647690750693 0.7172992552080317 0.6561313248947706
19 6.904656348210035 -13.731074207380534 -3.5151502561249055 0.009076970843133001 -0.20034839030555002 0.7030282971798635 0.6822971086459841
20 6.92432179523173 -13.676416283523318 -3.524863555550949 0.5561127295475994 0.3567251749229801 0.6281954164338939 0.41092128246506604
21 6.842876312395396 -12.783365464290185 -3.009154436386258 0.5656276707404404 0.4337596396406138 0.5191880166268438 0.4715524536068839
22 6.989740870840918 -11.772131494374438 -2.845235736750776 0.5688995139340586 0.37163637991868925 0.6197258384220401 0.392657139701576
23 6.940423636407486 -10.953012703788996 -2.48231644941389 0.5879990345274725 0.2495446252134803 0.645509262049955 0.4186913039812828
24 6.9679452776574005 -10.03614921064361 -2.0878083582618108 0.576167919412195 0.20619357324399148 0.6022440280421723 0.5126566781781317
25 7.02707788462638 -10.02313172298052 -2.0448218450563296 0.7285604295850295 0.6132090482621004 0.24412465677904163 -0.18324168610029948
26 7.129975542865657 -9.265489580486225 -1.452984286812051 0.7754740666289044 0.5758427849978166 0.2341836332193093 -0.11046757390379991
27 7.359933742630119 -8.407639734487491 -0.9101482560700324 0.7830332296805721 0.5878011647544407 0.20271013263268933 -0.016042258487282163
28 7.3790615649638935 -8.475860991205394 -0.8874574048140613 0.4150873489155253 0.3628333239645311 0.6748653707854381 -0.4905213584603261
29 7.166815204509467 -8.730249025076024 0.05678896793139103 0.4346979558690031 0.4529376435493322 0.6098734823952482 -0.4836729408292148
30 7.002941875539859 -8.881610523456763 1.0522485629821625 -0.5128428172249911 -0.2672744105082282 -0.6256187915738884 0.5236007657918786
31 7.086687944099354 -9.197606958875266 1.973206969306512 0.4244872684260374 0.38083150867012033 0.6732904237330148 -0.4705931642700082
32 7.010213882764247 -9.534988956090016 2.9115666597945706 -0.5728857621888936 -0.31472110606231185 -0.561996192161025 0.5068656714324554
33 7.001353876245428 -9.531803608753929 2.864330616925313 -0.7014036145415803 0.09141588882781035 -0.12134235576789895 0.6963850497207164
34 8.024597457065799 -9.71718088382739 3.0170147061264374 -0.7010318170756944 -0.00021923348879166648 -0.2496658052473262 0.6679980008012244
35 8.964005618997378 -10.056987414628287 3.4459531071169947 -0.724245038918543 0.11909203464282155 -0.2963333692388229 0.6111241650941972
36 9.730219748689121 -10.464884397770088 3.800662797663881 -0.6893267839021712 -0.01522073653698736 -0.40951261852960547 0.5974080091858388
37 9.704185224264238 -10.56948327299159 3.7866393706989943 -0.5277714887170478 0.46179290188013866 0.06866833350462227 0.7095697509365871
38 10.286610462934766 -11.004280268313936 3.038408413923031 -0.5997485234260971 0.44323804485669366 0.19084493672168787 0.6382945670828846
39 10.390489446191403 -11.066930973628637 3.041925388160863 -0.6317826216364479 0.6877091368992321 -0.3553175003554343 0.04069810762991911
40 10.199086534550265 -11.945617618601203 3.4837079567462714 -0.5053887510112232 0.7868868362319298 -0.35185394608707316 -0.03987628291571827
41 9.638805932854103 -12.7903395962238 3.8909872639364265 -0.5045472467176003 0.7844005693557262 -0.35893069381258363 -0.0362847028831538
42 9.154961952790059 -13.557122468745156 4.26251609803896 -0.502677451194823 0.7773721707924863 -0.37004214890870596 -0.07795316650836592
43 8.682367109743282 -14.302178576933864 4.802866337221036 -0.42693415832104914 0.8136938026160903 -0.37966990452360067 -0.10714655216992994
44 8.08971987818561 -14.892987905287397 5.346272298192161 -0.4800239368388251 0.7752565956159925 -0.40785181877836374 -0.04702260025603089
45 7.512789474226014 -15.624611312438423 5.788376019516407 -0.30019679184210035 0.869251068982685 -0.3594861757180858 -0.15828504259011858
46 6.631213852575157 -16.035458072695647 6.256610689185127 -0.3497893840793145 0.9117957093676096 -0.17032446579165925 -0.1313984304206745
47 5.8360484221280045 -16.669420141676895 6.624411003116853 -0.3229352146859832 0.8932391419999874 -0.1311864714571698 -0.28394857284631825
48 5.920420368273798 -16.696140114136092 6.618010420786054 -0.3802777995043046 0.7894586531230092 0.11952611645620378 0.4667519016546864
49 5.957672833811238 -16.730839284659787 6.6781574141587825 -0.028957265442485617 0.5729338173916879 -0.4639191740358681 0.6750461596283321
50 5.96066644301193 -16.6678937347552 6.695158254672491 0.24705571854326383 0.856782698466621 -0.45226067335358183 -0.01863230745482063
51 5.052040469666069 -16.186454515710636 6.498485837179322 0.2165020512207464 0.9228914627571669 -0.316199279819859 0.037632768016035115
