# time x y z qx qy qz qw
0 9.405210261161734 -5.22913442950626 -7.580001976902739 1.733081689583883e-16 3.300782840963632e-17 -0.7071067811865474 0.7071067811865476
1 9.464550461410022 -6.276779696597316 -7.525300797124887 -0.04250942122657401 0.034185481557829404 -0.592112876293089 0.8040066191801943
2 9.809958482819376 -7.243662611264692 -7.541036924088399 0.004254794464468176 -0.09497256653534163 -0.6383660763745544 0.7638395517802881
3 9.996727563028065 -8.193584319511295 -7.3945871467541195 -0.0013440961756680976 -0.19089495960506456 -0.6523197905325817 0.7335095082426539
4 10.073386285992473 -9.153796330822312 -7.167445568951045 0.10962680400307542 -0.06051251845516466 -0.6096838163360219 0.7826914098495193
5 10.335724822832047 -10.171418588952566 -7.130149719507638 0.03427906073526979 0.03433270357690662 -0.6590549313524563 0.7505283531754261
6 10.40303357350811 -11.23681164135697 -7.208731259461662 0.030872507989587378 0.13877388457716663 -0.5806001962281132 0.8016808026575619
7 10.6798985976572 -12.100450470201045 -7.47475304229818 0.02312886925368134 0.12811551905804117 -0.5869226280523547 0.7991078136669997
8 10.907629936560378 -12.996867619232537 -7.7878262390379325 0.11314732805870012 0.05805395522851427 -0.6118738831951569 0.7806649547015557
9 10.85625232796248 -12.984285194863078 -7.737649720080236 0.3498170151799754 -0.4291549659492911 0.6900897513294886 -0.46607961358725
10 10.500265935330994 -13.973099748610464 -7.60816282391109 0.4778930090264837 -0.46220420974003906 0.5638951869258843 -0.48990586706429756
11 10.43619329173379 -13.9200900731618 -7.661331520434382 -0.07748946596424336 -0.6728170433870748 0.7343033643426816 -0.04594755605546706
12 9.444054743682138 -13.965520309510508 -7.761902416224481 -0.16012865092982476 -0.6452994617339278 0.743013193358123 0.07667342651180997
13 9.366692447066741 -13.954715426875076 -7.732397419536666 0.436779172322105 -0.5830396365155064 0.42396751815590594 0.5380894725101063
14 9.283956997803047 -13.989112214483756 -6.706732468954346 0.4862902938254847 -0.4786900047076232 0.4870576110381451 0.5451169719004846
15 9.298309388913527 -13.91747218046234 -5.738639152233231 0.4562426722376405 -0.5538145028913647 0.4432678345833492 0.5372576172009438
16 9.339925023677626 -13.959766179721882 -4.76526113544057 0.5176446185239024 -0.5124449646731244 0.407291192221323 0.5509610619938011
17 9.45445788229592 -14.05045050338081 -3.8579544389044487 0.5042112626739449 -0.4785455785119495 0.5122365679811215 0.5043598222522604
18 9.367853861128722 -14.083762217269722 -3.878831043406073 0.07811225797562646 0.06025324771961433 0.7741856805746202 0.6252236026306108
19 9.142230052235067 -13.086048816842109 -3.890528694254369 -0.015610386786068858 -0.1434148944751347 0.7583944986750386 0.635630606757189
20 9.189283364581266 -13.112503061578947 -3.9189622413166383 0.5442884068190221 0.3451188091259669 0.6364732589261818 0.42372742236226657
21 9.180910068835415 -12.214572590720097 -3.580657280757296 0.5431935202472757 0.4528650767153381 0.5174765657685287 0.4817385449944738
22 9.200834844773766 -11.21061180506506 -3.5021846011189446 0.48041156400180174 0.49092634582135963 0.5697274979568134 0.45122791383479244
23 9.037169093328343 -10.202406003190113 -3.2835828294015306 0.4414190894816104 0.5883053173514361 0.4534948374578235 0.503377068822522
24 8.986567856821368 -9.18283955952869 -3.505345769069253 0.43468822872044177 0.5893313615390925 0.5411580705257352 0.41337952637162356
25 9.004055505265788 -9.274097120111291 -3.493147367825277 0.6426213110961453 0.76539754511704 0.01741822372210086 0.030017560464616688
26 8.88095819043415 -8.227832288971369 -3.5061939704759966 0.614820439128628 0.7789125313279506 -0.10549642381601511 -0.06451046994091257
27 8.630153828033183 -7.242091631322345 -3.47915985003773 0.527634672616289 0.8303837558534318 -0.16223813268983062 -0.07578428972529001
28 8.512654404101019 -7.209845603294747 -3.5963856635457825 -0.43098886096913336 -0.5321114305634481 -0.4170828852783332 0.5976185187828018
29 8.506896444956963 -7.220503963992618 -2.5193120304197096 -0.504255407944339 -0.5263879461524594 -0.397887633574206 0.5570705922529043
30 8.72464324166191 -7.151466436337418 -1.4876073120025546 0.5808199385563972 0.4967003573553417 0.48270993473274265 -0.4277009152301759
31 8.692006466444322 -7.067926441589713 -0.46455856040280263 0.522461284962818 0.6046913912894332 0.527574126929877 -0.28818061629753783
32 8.402973423723424 -6.73214161005596 0.4450439189152061 0.3977346699336386 0.6011068538860135 0.6147689999456268 -0.3202136150289248
33 8.367778339284527 -6.666135766375724 0.4423031323376323 -0.6290335730191403 -0.18710070282771554 -0.30033499670209757 0.6921769865952635
34 9.178500827185045 -6.832804978573228 0.985592412427841 -0.695065524588399 -0.02451912963098094 -0.10524709714560747 0.7107782898718952
35 10.159544183144643 -6.948772413892283 1.1068636365031832 -0.7408810992281377 -0.07938659526362978 -0.10459338657518984 0.6586753288105515
36 11.133336150043876 -6.824581016315618 1.4535312961627158 -0.6682569116884683 -0.17441846950519183 -0.18745747277530692 0.6984773392006015
37 11.209743102776114 -6.799209873229546 1.4141516611923879 -0.628685554586653 0.44483435558791373 0.31138103566353054 0.5567034400575097
38 11.667411885061977 -6.969585235147391 0.5873667036972818 -0.615143925415977 0.3113115036462759 0.4140025762573635 0.5943777970058977
39 11.734433029768875 -6.981484274514557 0.5521402564689272 0.7667760704094143 -0.6077437232916361 -0.014095829715115275 -0.20616336297159824
40 11.936382576001526 -7.862298420703647 0.2812424107378043 0.7398680829780558 -0.6113338895554388 0.12656332086404584 -0.25069467701421205
41 12.205048032955304 -8.643691796640818 0.1266526794139355 0.6940568741735379 -0.6476699851355348 0.14102964493666922 -0.28092576424392074
42 12.327413259180226 -9.643726290078101 -0.003433468781929266 0.7885108975336673 -0.568440412153984 0.20024793581018197 -0.12258395696264833
43 12.53408462469476 -10.617428024327522 0.15773438429046235 0.7145124594653071 -0.6700752985094196 0.15161366498550846 -0.13222834864737554
44 12.559429299231127 -11.702435165472757 0.150253653274547 -0.6621819896628933 0.7184948508089347 -0.14846497718711377 0.15244117710109792
45 12.477121006351682 -12.669364251957626 0.08413182555367166 -0.6377388727701252 0.7419182302202443 -0.16333614703939256 0.1271525575640401
46 12.340362557839711 -13.686165969110151 0.13374893973499705 -0.5688037798774236 0.8014218365017749 -0.15985541772911663 0.0929061106597811
47 12.01542095427701 -14.618966522928911 0.2176978303603764 -0.6094142383517974 0.7513170462863406 -0.1759006917199415 0.18219749917634281
48 11.991430633196373 -14.593586167359277 0.17474151546096084 -0.6471571161731198 0.4553251834190554 0.28981774823110396 0.5383979171032762
49 12.056985503400854 -14.62584949062334 0.1627322361746697 -0.15887390476802035 0.6133857706297191 -0.040396787429454996 0.772583379537851
50 12.04110574019705 -14.718859653445861 0.07973758687902655 -0.06501681299790026 0.9968438586205933 -0.022981226489977524 0.03933190545878811
51 11.0400319083561 -14.861469329306132 0.029740501830216346 -0.034379938117520964 0.9895546234818221 0.0704713044252923 -0.12096884827666401
52 10.070865563933202 -14.98807812224141 0.22990012497303158 -0.10007154840686087 0.9926413758102529 -0.06686857505814998 0.013318329425048158
53 9.0622641817962 -15.199544150313633 0.19946878421928343 -0.014461741129652443 0.9624871654156376 -0.2580296525272041 -0.08264389191198851
54 8.042950512769904 -15.16008446905071 0.3818906795398443 -0.0028883732241565523 0.9918169292431368 -0.11008331364217691 -0.06459489317578397
55 7.087422404371963 -15.144329838448044 0.44543560605553906 -0.07793567517146005 0.9857849657251911 -0.01608258236089514 -0.14797088372499992
