# time x y z qx qy qz qw
0 -8.08568701344816 -2.668167880832618 -5.6765190431973895 -0.7071067811865475 7.199389351337856e-18 5.939604460791801e-18 0.7071067811865476
1 -7.0395848059271 -2.6843705383872654 -5.629592521039923 -0.7159941345049432 0.17215396338110064 -0.03899087853086119 0.6754221817782472
2 -6.04119882272776 -2.958740760055364 -5.843702490780926 -0.6926904799404355 0.2852693060447358 -0.16822562266566357 0.6407038800470882
3 -5.292962441907895 -3.7146293621211064 -6.028892924682175 -0.7455890707794921 0.21730654841195635 -0.32582334149344777 0.5391789607259353
4 -4.54378574950879 -4.44882167981752 -5.6841719565061135 0.7747266700090898 -0.34722804878364755 0.24211785551975076 -0.46969161473571686
5 -3.936253887881211 -5.1724229830773805 -5.628094646580051 -0.6700714503455891 0.31416428618390985 -0.1891639701755147 0.6453851912662312
6 -3.2786254637556906 -5.783102772674643 -5.896035278299377 -0.6990789595522362 0.17237730789835384 -0.1667741995969293 0.6736178726710585
7 -3.2469269790570467 -5.795197454152653 -5.847706979229454 -0.34652663316111476 0.7346256863927799 -0.5402171118070571 0.22002242047755208
8 -3.2375453034694486 -5.784792564629265 -5.862977022406213 0.29054942450364335 -0.10000716722650381 0.8745210407044415 -0.3752233305501568
9 -3.738839533399396 -6.471181856747494 -5.496067465509941 0.4455647866435861 0.055133710615844427 0.865317630402271 -0.22284006231371936
10 -4.232937028595265 -6.775659984948723 -4.638498026760848 0.27007452307782825 0.10912378540681178 0.934753566250124 -0.20343923374179065
11 -5.026013851736068 -7.151844323513264 -4.132841134062127 0.31710317262277377 0.008041042323904261 0.9031943973567184 -0.28917261304340497
12 -5.043391596873227 -7.102155521250772 -4.117134509916539 0.8308384522797142 0.02351872053809768 0.40848136927968254 -0.3772231527214304
13 -4.415299869192099 -7.3167775629627405 -3.462382057796696 0.8507109145338196 0.08480437305515012 0.46685091216436614 -0.22616229574147514
14 -3.7952133975071822 -7.438019300291665 -2.690428767571124 0.8023276342836186 -0.015010830585775339 0.5530274017144763 -0.22406636334557753
15 -3.385927156052773 -7.699066580227903 -1.823153441241231 0.8323264147230379 -0.03300110247350982 0.5107626995171753 -0.21275603721575997
