# time x y z qx qy qz qw
0 4.009176414250986 3.1789076677464623 -8.996321475195131 -0.0004961787642561673 0.0006896177552668072 -0.7073841274589574 0.7068288155226239
1 4.057149750524164 2.197954183816108 -8.946088895641717 -0.013793139877285776 -0.0044467565605225854 -0.6933354730345201 0.7204692203560225
2 4.1162981843423925 2.167912604993003 -8.984207197399115 -0.4739032335338482 0.43248888024740095 -0.39807793787654216 0.6556699238827961
3 4.40623585452538 1.17691341260016 -9.214431875392542 -0.5022913599860459 0.47603310863717374 -0.4097240888167469 0.5943248608361285
4 4.593008415331954 0.1741164363509132 -9.366024279689304 -0.529191170339558 0.47331375127648145 -0.47237217270558773 0.5222981222832764
5 4.75755125110082 -0.8738745359046775 -9.318249266632192 0.540448492995983 -0.5236925957288728 0.49920035625241455 -0.42948864468643144
6 4.7653796806589455 -1.8635048657459645 -9.234513612868302 0.5136362743438395 -0.4888629756376161 0.49748294351353 -0.4997014004803557
7 4.797888272055509 -1.8986357260755484 -9.269084121301576 -0.011855715643468299 -0.6727439122236601 0.729510143549598 0.1228414467141701
8 4.823497298407937 -1.88361581353103 -9.234234207835929 0.45166568390879647 0.5614159117687577 -0.5283692415652591 0.44903922830840376
9 4.594795980161858 -1.8636469385423746 -10.21695837089537 0.3137233096631348 0.7358884115996154 -0.46713553162865307 0.37660367196486333
10 4.0273219355996615 -1.739958834234273 -11.070341099831383 0.1364267964069868 0.8813074848030314 -0.34637493065054287 0.2910485421181692
11 4.071786701414105 -1.7502562391280305 -11.108740184411515 -0.1125555734283963 -0.5909266708195664 0.7892677065312669 -0.12326151074517308
12 3.109000925167819 -1.852667911408994 -11.403498839329334 -0.24742832520487096 0.7342895540505031 -0.6267524798154569 0.08233713465867427
13 3.078965863495736 -1.865904817408219 -11.428449846994106 0.049551783091565486 -0.520045196087008 0.6208833544080113 0.5844668297160488
14 2.7764229369418345 -1.260257481845947 -10.758983117085053 0.3406676534151783 -0.41026488905953507 0.5320745600933727 0.6576662780035227
15 2.834562330642507 -0.8408760802268147 -9.842054015400366 0.6610222026284692 -0.3768165694309321 0.3193857267969418 0.5648465970092241
16 2.8431438358022976 -0.8289534300359772 -9.864411039218634 0.7496502906919443 0.5327253277862835 -0.20068980778361245 0.33756742711976345
17 3.175306722103217 -0.09520051812116842 -10.559196282273419 0.7299145273354884 0.6815303833512744 -0.04626779515959871 -0.024503274979980037
18 3.141039291393495 -0.061161918197736136 -10.579769413849831 -0.040392331313912753 0.9983146336703212 -0.0323941517593125 0.026210125953799405
19 2.1666985011871396 -0.10767392068763512 -10.581006347122313 -0.17972672004738846 0.9836584698369263 0.00021614553010821665 0.010689906463279901
20 2.11961454367256 -0.10361472191935835 -10.603561265889832 -0.1163592293420813 0.7259321361740854 0.6672593588269091 -0.11936503455597178
21 1.2150864167378195 -0.42307623230012664 -10.578848103886397 -0.20477347168469276 0.7526360816463459 0.5951338929021865 -0.1934487100430571
22 0.3176651516675953 -0.9539943143396997 -10.487294058413193 -0.1831542420664089 0.6969265125929196 0.6865948936311737 -0.0966199342669388
23 -0.6038826748344679 -1.3717584165123713 -10.646822566955327 -0.13779400051637591 0.7346555277981905 0.6628239831499643 -0.04425422305804886
24 -1.6014677467926208 -1.6640824289979992 -10.713164265631667 0.05735742325147762 0.7603244605594214 0.645550419074511 0.04337622742584771
25 -1.5459601932440634 -1.6938607257122518 -10.760620096457464 0.6182648866578042 0.4591531176552016 0.508589713676955 -0.3850499287306957
26 -1.495286127144723 -1.5350775331939335 -9.798348770999345 0.7753021199877007 0.24863045950826473 0.5802624826077466 0.019620617349643883
27 -1.2630864611921644 -1.0793000677746702 -8.872411635792467 0.759642370929904 -0.0021544937905469902 0.3588311142683847 0.5423827595687454
28 -0.4840971719626128 -0.6316868109102449 -8.29736589666743 0.4697528356141516 -0.21803292319123177 0.16478659378993743 0.8394279578047543
29 0.3711321631557909 -0.5892998200721797 -7.746930223262297 0.11384703464354855 -0.4346655367862641 -0.13098270765201628 0.8837127667570079
30 0.9801597063610138 -0.8800254336980706 -6.9554636206965235 -0.3254806316650421 -0.5514876998340102 -0.3237403339804985 0.6965025997775692
31 1.2132648725735888 -0.955364804743761 -5.93281663832517 -0.3795078659572507 -0.5624827484014119 -0.3922493093941548 0.6210695747717604
32 1.3232653407088288 -1.013053446132443 -4.89630943720658 -0.42317321046805567 -0.6028761882984845 -0.4195753773993443 0.530491506251558
33 1.19500063687162 -0.9607480792216739 -3.9548633361806163 0.5094683235059307 0.5071555615070004 0.4860068431458999 -0.49702375415258765
34 1.2367042419720395 -0.9491861660435615 -4.01101743663462 0.7659375525322879 0.02190313445180188 0.6288599199242136 0.1318905585511964
35 1.4861248276982486 -0.7789108738320979 -3.0008118467135505 0.7544487129104769 0.09195521050979855 0.6412119025135338 0.10582379185607586
36 1.448881903011316 -0.8057192729219311 -2.937873619549359 0.6798413756375096 -0.49382013092963034 0.40235009532659366 -0.36341681723693264
37 1.702082699685666 -1.77998633085907 -2.7114718185336777 0.6670417821271019 -0.4514914208184985 0.40594943221021695 -0.43175897942277364
38 1.6594286444863793 -1.7947624535684399 -2.697832009144522 -0.15342173088492578 0.7040118116990121 -0.6933353104729957 -0.010737259047985549
39 1.711735156203736 -1.8073426407028759 -2.7207302930976467 -0.048935326412277845 0.9904724595109146 0.10522123525634189 -0.07414939265060017
40 1.7398285154537887 -1.84027508186967 -2.793860098092412 -0.6863689844089413 0.6988210180448803 0.19682852908737397 -0.042489200009594726
41 1.634981567251148 -2.798953606299625 -3.010969359204105 -0.6539032666207696 0.7404823971871107 0.15281693382712816 0.027263933949288215
42 1.5417121454053635 -3.7410826943224835 -3.202044760166614 -0.6843952277063583 0.7155030163982449 0.09589189531093682 0.1022905187759443
43 1.4890309741963013 -3.6875968523684586 -3.215359442415901 0.5686212631703373 -0.43232717249440067 0.47031082786384004 0.5182381693657808
44 1.7418448280511385 -3.703895906537427 -2.1863672062512474 0.6186366655513155 -0.26763489224935955 0.16447027877540257 0.7201456574095024
45 1.6996643163767002 -3.632345356373288 -2.1632460602642776 0.5724945801270244 0.548835505914696 0.33814934476169717 0.5066404679945854
46 1.9230494182043323 -2.613565685959114 -2.379363188086896 0.6176007302100464 0.7570585643917377 0.03679009963796663 0.20994798568637693
47 1.7560781000109191 -1.6198830713049492 -2.6395949958044196 0.43861477605166077 0.8405742757755869 -0.2725492426126778 -0.163611966202827
48 1.737868434444516 -1.566983203749507 -2.6961643826597537 0.2047189662000168 -0.033424782874238605 0.8622349859613281 0.46208630985138954
49 1.223913468192412 -0.7625438818814206 -2.3163644067146714 0.35908874537033614 0.21883226495061384 0.7470343700506707 0.5148857763892305
50 1.0745116409843178 0.1652250719651463 -1.998013204863547 0.5034309818026242 0.5036545867072886 0.49519544481369676 0.49766532457638735
51 1.1129189773631123 1.124277753490926 -1.9681803771339494 0.4858579702041063 0.49750232469751726 0.528186787004611 0.4872906604311822
52 1.0348784320662798 2.1673685472007596 -1.9523987780185221 0.4930534660275545 0.48049446911360005 0.5064204250573092 0.5191933145507802
53 1.0649044633129663 2.187706462650937 -1.90135310419979 0.7134589096795024 -0.006629970041176176 0.7006517690817052 -0.004418843611716763
54 1.0393339661952719 2.2115582424285773 -1.9448588020341104 0.9975570113842783 -0.02117602338765652 0.006371500009516435 -0.06626453847406133
55 2.1016427842585883 2.206510248658637 -1.8941325075999198 0.9920280727623921 -0.09974529003760245 -0.07630018183813539 -0.010462419324208879
56 2.0883296800790587 2.2570974321295445 -1.8356649449134506 0.7308887659535153 -0.03779596263140657 -0.07755946098084526 0.6770211274576833
57 3.0323733090097287 2.0484361312754906 -1.9104858857203098 0.6957005379765586 0.001492931803946091 -0.023403646819188127 0.7179490246036401
58 3.062884604708223 2.015467226924054 -1.8577725724210066 -0.4851480548118925 -0.5095749336847879 0.5289424646320684 -0.47453621672253204
