# time x y z qx qy qz qw
0 -10.879724452932068 9.869191468300398 9.132481539228502 -0.00014036324599353412 4.146263415505115e-05 -0.7074002323112251 0.706813193075111
1 -10.910636458547543 8.826926581715993 9.177542151057613 0.05225023845460619 0.00031017804768351614 -0.7550227649158078 0.6536133725910938
2 -11.05047508820829 7.865871775927684 9.145514428193026 0.14752317742385068 -0.023582525206351956 -0.7050500970854547 0.6932424808300873
3 -11.000945065090729 6.866229457303898 8.922860319490855 0.023307910043998945 -0.010246749164928277 -0.735934421912948 0.6765739221286812
4 -11.125368990455707 5.8933596688284 8.915356603608984 0.1007274303268775 -0.033758527249048674 -0.7361695702860124 0.6684075930168861
5 -11.194192824278371 4.883385750571757 8.808880395725236 0.007522668297548695 0.01079995980824982 -0.7092517805058011 0.7048323787817753
6 -11.150995553697111 3.9203133738583675 8.825178177312662 0.0030724210012241316 -0.08185821015166053 -0.7210608342250803 0.6880124032360094
7 -11.21390356410129 2.954511316117757 8.956993995963082 -0.04903958288695298 -0.14500101977770102 -0.7363157758867115 0.6590970351579883
8 -11.182745705832257 3.000795996049843 8.967385049972671 0.47131003596983057 -0.47167489253282874 0.5935872735950846 -0.4506038108740486
9 -11.178117072016667 3.029641818726826 8.953395970136869 -0.012393710355808621 0.030286718382485686 -0.6691963811585012 0.7423646772830738
10 -11.059785056841154 2.0405231151807928 8.960601579177357 0.06742892338167572 0.08958367538867684 -0.7016027716496831 0.7036914495778154
11 -11.05878915829372 2.0764855946439726 9.026232481639084 0.07107217642745851 0.0196275052412789 -0.018986893247472915 0.9970972894661166
12 -11.036770680208715 2.0263472854554547 9.083439503320385 0.004261166372121285 -0.014578271429692768 -0.6990316111146302 0.7149294532509876
13 -11.007205319368863 1.009747136969729 9.067347451020115 -0.012176010000283411 -0.046866872030829114 -0.7546089219599081 0.6543856783159485
14 -10.999832942563692 0.9631235703753084 9.072753373786643 0.5037975854274706 -0.4936622330509251 -0.4850028418232304 0.5169698598564686
15 -10.983526623300147 -0.08066799315990643 9.079623512203218 -0.5081729711788217 0.5040772337772115 0.5418829539148095 -0.4404875003985513
16 -11.026327723418365 -1.0211110810466382 8.946357576590392 0.5166714541545181 -0.4977595913370557 -0.46029902893284425 0.522886987462208
17 -10.994424140883233 -2.021340188253911 8.989596415993711 0.5184459624228598 -0.4834224281782585 -0.5045741890060601 0.4928705994178878
18 -10.966288880554231 -3.0419182912916374 8.986037093911031 0.47457953615894144 -0.46684008041346375 -0.5536126648602446 0.5003474997289933
19 -10.973558952942488 -3.055506362888712 8.929114653606353 0.001386800856941097 0.6385736900790697 0.7674892495909158 -0.05640896103064189
20 -11.97924356401424 -3.091935946176517 9.00578993429029 0.001409826032005058 0.7121518760710723 0.6994336013169546 0.06025242856356173
21 -12.01477328085461 -3.082172994345773 8.94848886918507 0.024227095021796846 0.9994962880374061 0.004976376708381148 0.019886018734479646
22 -13.028346736021343 -2.9880902301391457 8.851848755476112 -0.02655831016554155 0.9979628477525592 -0.05681479713344434 0.011699978352044097
23 -14.006296913756234 -3.0112228882496224 8.880622694190395 0.0013756979490586873 0.9999673228565403 0.00469064594814027 0.006438828687411422
24 -15.038707707166207 -2.9753943225831394 8.862393605452551 0.03701126625189569 0.998229923349503 -0.018062768251274897 0.042905975145393474
25 -16.00670940172128 -2.8688103560576743 8.724166464422423 -0.005528169556508321 0.998514208198329 -0.052282960879434556 -0.014328550837333387
26 -16.060181747448087 -2.8681925132920245 8.777199176331132 -0.029682901918585722 0.7690172147649688 0.6366369120989374 -0.04924318107059746
27 -17.016058441608767 -2.9307886756563684 8.757409799141088 0.010018839028926097 0.7956706950374917 0.6028066236149426 -0.058582782871932956
28 -17.98845717414202 -2.9651331344580996 8.876060365447024 -0.022736187899700312 0.7987676292786966 0.600751982167405 -0.023460522121509737
29 -19.008715551140106 -3.0162044287042464 8.897612537293975 -0.0071751228242416315 0.714563999374142 0.6995070465099656 0.0060580767404394865
30 -19.055160243825895 -3.0679202740327325 8.898946708210426 0.46810509368303455 0.5170135373374274 0.5052844595956584 0.5081950790483519
31 -19.085912360630843 -2.0786852106455482 8.879421398085078 0.5100720436631987 0.48519005141195976 0.47466636471614854 0.5283076437940923
32 -19.005092282707988 -1.0408930494487325 8.821939497778105 0.4354495257261306 0.49355779396215527 0.4974254578285441 0.565112668826457
33 -18.940313441490897 -0.058487200336162205 8.694165483250956 0.46115580893070096 0.5103133890869671 0.4950870254294983 0.530852523832577
34 -18.99564041360052 -0.1000724290740601 8.708855529001578 -0.012057085309356315 0.687576466232357 0.7259551269568013 -0.009076531408088298
35 -20.04786119561768 -0.09548150287205542 8.722253357657962 0.0027961407646752193 0.637036893773914 0.7703330338527389 -0.02762597551114027
36 -21.028006806661345 -0.08538567752123712 8.794141586139215 -0.03152193012433104 0.6348295404501453 0.7713895544748549 0.030918889698358206
37 -22.011951211716145 -0.07231118545347978 8.730487647192847 0.0008757506780224979 0.6700217977731467 0.7422348822206043 0.012546042585461298
38 -23.04656851476912 -0.017429188578675127 8.671503631367784 0.03175266605091328 0.6605943448138876 0.7500708282492234 0.0007952409029055886
39 -24.05640852444055 0.05766013957820182 8.739333458227833 0.031620883616375176 0.6968189831694952 0.7164786507049544 -0.010087987805222434
40 -25.02250146113997 0.1118435051484195 8.746162063576175 0.012883981539334692 0.7147760047701244 0.6990464798987112 -0.016226058232779717
41 -26.01916018427346 0.1202416440488219 8.819952773218569 0.05916183242794375 0.7128949823910192 0.6944632402544263 -0.07746889440800774
42 -26.022906257602706 0.12146499605027787 8.839169421712867 -0.011318151227903228 0.9998870487204863 -0.008084656075419422 -0.005694522803578054
43 -27.071147065203167 0.11102286775170753 8.831520619547536 0.07690629919269418 0.9945540296990925 -0.007325018842118877 -0.06995746745518527
44 -28.010938188346827 0.24786092110308794 9.014560687555301 0.0872813819158512 0.9928665523695164 -0.062150830561802324 -0.052299558480044674
45 -27.972335311247978 0.24310682625429542 9.043904848343907 0.6829270646004512 0.7192094543807691 -0.11684174917486012 0.051926783217202996
46 -28.006287502963435 1.2440996510553557 8.74875862553124 0.6714656781966108 0.7299191181494004 -0.12551358525185885 0.02445943337838476
47 -27.96529200477447 1.2011699329736454 8.726256541759875 0.4526161707401733 0.48627454839276774 -0.5273541672521227 0.5296916535605698
48 -28.029498798489605 1.1088631061339966 7.754525327700966 0.4883248957968252 0.47735984768750106 -0.5325140672003474 0.5000951311445946
49 -27.99406405269959 1.066473440865868 7.766544352140929 -0.01943300977715874 0.7165537550011584 -0.02459807245738881 0.696827101335849
50 -27.975748140965838 0.9675743531821445 6.7641705162304895 -0.0011753821700868695 0.703133317972974 -0.003182725888670815 0.7110499461282506
51 -28.006677366106622 0.9494420452797776 6.759084436740605 0.47254186097473266 0.510247206657633 0.5467546135405649 0.4662739219565328
52 -28.1346175456606 1.9809101717439555 6.800297391464468 0.5090149672308761 0.4796674752690387 0.4908936890724568 0.5194672870670597
53 -28.071414461888473 3.0194717032881297 6.7536652721346915 0.5172830844812765 0.4699932446465404 0.511464066534983 0.4999290641077515
