# time x y z qx qy qz qw
0 4.009068226050132 3.178915368076577 -8.995899919722323 -0.0004984389052859412 -0.0017405190103950015 -0.7076939987022851 0.7065167558897681
1 3.957026234944559 2.1544610866848206 -9.033083116653474 -0.01731762329801983 -0.01967396260375894 -0.7124400532196444 0.7012433284439606
2 3.9295205589821216 2.1549399463358827 -9.016486147681807 -0.5093725489230213 0.5685434368167669 -0.5055158594064549 0.40218364305972987
3 3.757569931440412 1.2313607208135362 -8.909434521677825 -0.5198098751388686 0.5605810404495701 -0.5042731496412416 0.4015659115854997
4 3.6611389090670947 0.19207795051200877 -8.889906702354137 -0.47862297590621156 0.5342635511883105 -0.5164798009980698 0.4676869893073054
5 3.5402797823068823 -0.8287997742591435 -8.946888146225707 -0.5087233967078046 0.5601061652748671 -0.41409390231964627 0.5059721625987381
6 3.5322698453663697 -1.874644655555437 -9.049345292781924 -0.47105140732434464 0.6119545701376541 -0.38269399870445653 0.5071168298340992
7 3.4935006780405926 -1.898438102784336 -9.00094328663695 -0.042756052700053816 0.734879420293558 -0.6763854824507278 0.025036707379582596
8 3.44604026929713 -1.8904243680991752 -9.004258577923617 0.5388536259940016 0.5254185833584557 -0.44971175907500255 0.48096924617315895
9 3.513547426309366 -1.7561230112050166 -10.019359115317853 0.5555984981615728 0.4488914577470479 -0.48102326439242826 0.5083536044089663
10 3.628259553859123 -1.6890426855027172 -10.969372639029606 0.5425378460774006 0.414357823157459 -0.46480427457960327 0.5638415258691359
11 3.664707250969504 -1.6454763183510495 -11.013236419458766 0.8200659518399976 -0.01097885780227535 -0.5705032331554512 -0.04355869916897251
12 3.9829142558963744 -1.5742960699722448 -12.008799340867728 0.779275288670121 -0.04946207829042768 -0.6234077595918797 0.04057453092673404
13 4.004677639701686 -1.6172510229310264 -11.967166915269726 0.983209085129052 -0.08354495597856153 0.14430230940862848 0.07414161280663673
14 4.989624093364945 -1.7594281174062893 -11.713444047982945 0.9955300088050703 -0.02458454704955247 0.08139747282601224 0.04111025459035307
15 6.0229828847296565 -1.7964377964259082 -11.572810868816909 0.99439957037396 -0.06777903597656516 0.08095693137735836 0.0046337872343374395
16 5.98503525582218 -1.7450392923807585 -11.619919551626221 0.7259161543967977 0.675678097777831 -2.5240114986132666e-06 0.1284711833942756
17 6.098334390169953 -0.7810326478155707 -11.797134138901903 0.6973850015288344 0.7153385486891145 0.016289567386870683 0.04098256210057715
18 6.056444214101121 -0.8254731086145475 -11.829971245982309 -0.11220861101349845 0.9907793618376818 -0.004521668955564034 0.07579603077202321
19 5.063025634261796 -1.1012148152278292 -11.932231392701988 -0.026198916460847616 0.9967114141358585 -0.060852575615259884 0.046657665485577794
20 5.058060870512717 -1.095372235620399 -11.931292799759158 0.048510377454758606 0.787255890985123 0.6147149915112957 0.0006201610149659162
21 4.077937222690065 -1.03448771647522 -11.912830374631975 0.06020742552959655 0.7945471303605948 0.602023625051033 0.051356386431049436
22 3.1062312478739322 -0.9396086778853988 -11.959228135509134 -0.015529055949553283 0.7909315787121669 0.6117016160239438 0.0026868514827977094
23 2.159438397112714 -0.9515315501251818 -12.035393139642355 -0.01624317227424791 0.798114720704221 0.60228367790556 -0.001850210324293533
24 1.2054822934916765 -0.9359160448201905 -12.008952296394684 -0.0009865347617926219 0.7505806381528065 0.6542868753673682 0.09239273294635003
25 1.1948866800361324 -0.9341654463165242 -11.988990497834964 -0.49364445353936587 -0.5070681657927192 -0.4990998277106138 0.5000963814192856
26 1.1300347534333968 -0.971514881792171 -10.969861601158303 0.48694631847074243 0.5497880855938637 0.4959096114171548 -0.4633465238575889
27 1.0425582949837215 -0.8879222957313728 -9.955951755573718 0.5460855649375675 0.5400792930935937 0.42972641656536936 -0.474805349426719
28 1.0657337002223488 -0.7224096334007091 -9.030329297159966 0.48502031230795806 0.5476702981170518 0.5078792624510741 -0.4548309531916478
29 0.9413298064532777 -0.7015673085186471 -7.992947838094564 0.44990133644736297 0.5853136354376259 0.5209762395881202 -0.4284629428763801
30 0.7620494977642409 -0.6119679300652588 -7.035360844149219 0.5087451672446159 0.4807230389597976 0.5268900458183586 -0.4821520447286653
31 0.7110430120616702 -0.6000400067195502 -6.086681225144601 -0.47091830796292605 -0.49086194033093056 -0.5271264098258029 0.509340996606446
32 0.6644463479014415 -0.7334261961059675 -5.053470463774232 -0.46989842248203906 -0.4964171114249161 -0.45344924382139945 0.5719696734191735
33 0.7231028397141348 -0.7438408585305558 -4.055154283823431 0.5282730722705327 0.5265716636200329 0.4612006555412662 -0.4805661239773254
34 0.7618606611673312 -0.7683883265171856 -4.010428312137513 0.6219442021552689 -0.006428331081382536 0.7827693388040946 0.020402161482418378
35 0.5719814189090667 -0.7010846537687327 -2.9858922293850054 0.6710064597336971 0.001688652129148763 0.7373976471068819 -0.07740923388634946
36 0.6112523368990639 -0.6544054087933661 -2.9897796102971372 -0.47426465680159335 0.4614963159176001 -0.5552546853285042 0.5037721907014057
37 0.5602834782295351 -1.6049288980218925 -2.9365041017254265 0.5157806151840629 -0.48887303712226987 0.4966983029253583 -0.4982612833105402
38 0.5494855296559558 -1.5644272848235374 -2.9899363417393077 -0.07433134490252088 -0.677803023312716 0.7311731619500703 -0.02106466228213845
39 0.5099252872534158 -1.58455356121078 -2.9848671238751603 0.04954105258061671 0.9916982036640443 -0.10057402366981064 0.06297001446384352
40 0.46479373796172374 -1.6170053126015844 -3.0084579236898996 0.7144167951825612 -0.6968808761706012 0.057889625617305304 0.024788675532627848
41 0.45005506910036236 -2.5879773154319876 -2.891984020139432 0.7457743246358473 -0.6573705664213699 0.10505478592845718 -0.02545755428785806
42 0.5872125862319489 -3.564258646832824 -2.7334705583901933 0.7744191217350604 -0.6311618806402208 -0.03818928657230684 -0.02124341565980739
43 0.6060963154687102 -3.5750506764648518 -2.7822735906924536 0.5051532411510434 -0.48832924249575044 0.502452758319223 0.5038809180109185
44 0.6621116355525468 -3.526587843967727 -1.830174869826412 0.5118748602593773 -0.48850506788538567 0.4944695530518427 0.5048235208361908
45 0.6560439856111525 -3.506025358168323 -1.8366937641435468 -0.036197013465250685 -0.07344899173886657 0.6966525574905078 0.7127203069722897
46 0.654403689629608 -2.5602322738060606 -1.73117993747189 -0.05053021662893145 -0.08171939075470758 0.7182711374732749 0.6890973889480068
47 0.5692947459191591 -1.5188343169673906 -1.7182612821888694 -0.11282465942135908 -0.011964896932572303 0.6959277336140359 0.7090923966978339
48 0.5216439827212691 -1.5711722381426452 -1.7613553748422888 0.47316647003955825 0.49774392242664456 0.46039337029563054 0.5624965990168046
49 0.564174409586586 -0.5403461729091107 -1.906776171198018 0.5767204333354508 0.4639746966201536 0.40073969407971005 0.5399339962055607
50 0.7968638796452425 0.3965772506673633 -1.9897004276087586 0.5052927037994297 0.49804238276885504 0.49274436071855715 0.5038214598774483
51 0.7829007390771223 1.342416097189442 -2.0320459044695363 0.5077080138763062 0.42816291318959687 0.5676087056665962 0.4865485070024015
52 0.7756527254894925 2.341654819345247 -1.9093244884178853 0.4634802080473931 0.4943699560768133 0.5501201671109252 0.4880084476879501
53 0.7716980527536308 2.30355034336562 -1.9491195317838306 0.7173605347406581 0.010820524963670882 0.6962164749384852 0.023651627012476903
54 0.8156698488376742 2.2520597993038223 -1.9079748079126022 0.9928859321971337 0.022958808356218156 -0.015342844092387257 0.1158232096733968
55 1.7916023222192308 2.31935124915231 -1.9741054725630292 0.9910938687103291 -0.057181857032947904 0.024437168398567796 0.11775399539598118
56 1.827584561785694 2.2762362404084846 -1.9104501406073617 0.6411065768705124 0.034172513634847815 0.013887219903305834 0.7665648971408795
