# time x y z qx qy qz qw
0 4.009022915142204 3.178838459717941 -8.996194714202867 0.0 0.0 -0.7071067811865475 0.7071067811865476
1 4.021409766792367 2.13782172360719 -8.9742728545882 -0.02781617012880215 -0.025080329866440203 -0.6421264294532099 0.7656832806917152
2 4.0302569525554786 2.161065462672519 -9.021484072451798 -0.460606712086858 0.44927286623282336 -0.5439256273879634 0.5386466934068083
3 4.072002668395155 1.161984268244701 -8.944296184676615 0.41399208889491534 -0.42376588465196874 0.6486987484961219 -0.4777268665640694
4 3.899375965314896 0.19392029680544431 -8.816699847956556 0.34397226200934455 -0.37992423398535213 0.7233251410987784 -0.4627541460141124
5 3.601631886182298 -0.8009233201089699 -8.681362797717863 0.3183085755408731 -0.29384539122145814 0.7986405722933868 -0.4177412752912264
6 3.1287252133491057 -1.6065859152675943 -8.430031255808883 0.3325356980315202 -0.18412886145544335 0.8315459237961701 -0.40502833052983567
7 3.144202461929494 -1.6511994700461285 -8.45011350094023 -0.43223990769954385 -0.4185798811169042 0.7873421764770686 -0.13435714516318334
8 3.1028762164886126 -1.6606791061706447 -8.478729410749848 0.6111302092301595 -0.10545937129602348 -0.4846135724429769 0.616885624549806
9 3.666732929048389 -2.382916163304216 -8.984894902134279 0.6317688203270616 -0.031437727536097936 -0.4366645304245723 0.6396904836082891
10 4.20295616905277 -2.9859817229551 -9.502750759528116 0.7173445080442031 -0.04682848213277232 -0.34509978307436967 0.6034319263694814
11 4.204950376442082 -3.0143616100792094 -9.571028918189777 0.8916298311971333 -0.3581284490902025 -0.25874998566074536 -0.09893787440703294
12 4.790643368668209 -3.6444132833585376 -10.054460326930593 0.8570283473374622 -0.36066703194412053 -0.3023605843423632 -0.20976124752866435
13 4.782999377647154 -3.721293492325683 -10.05655469570762 0.7443477971596433 -0.4823402157738165 0.424688549072533 0.1814770216791136
14 4.98596008095888 -4.24093147916059 -9.230263765510776 0.7741059412228501 -0.4632526912086844 0.4120302908813357 0.1280155273692941
15 5.20641003004209 -4.824830375377183 -8.440133711391349 0.8225601990025856 -0.4342537517760845 0.35638529539513947 0.08836243156082044
16 5.19738064689953 -4.781508682411441 -8.465618772380894 0.9166521279428222 0.23419849167255938 0.25730657957681624 0.19670604195772312
17 5.9219612939424175 -4.280669760154721 -8.03458909629554 0.9275938250301002 0.22024019902438408 0.19489061970554375 0.230394437542482
