# time x y z qx qy qz qw
0 9.405210261161734 -5.22913442950626 -7.580001976902739 0.0 0.0 -0.7071067811865475 0.7071067811865476
1 9.477545088942959 -6.24064397031588 -7.534275787749102 0.09544556036830852 -0.17566493591349175 -0.8036917182022323 0.5604565972398148
2 9.101217658785266 -7.2251418807386685 -7.544811930437214 0.12422580000442314 -0.12970800854901118 -0.8020378144459206 0.569630693809877
3 8.761373665398896 -8.165628664029597 -7.55686528635434 0.18524411324163265 -0.2404571840786854 -0.7678792637309346 0.5641155887460547
4 8.504732047438747 -9.057324894855524 -7.642118829172886 0.1549710962616531 -0.26383272237992517 -0.765028060723027 0.5666642041204145
5 8.141691838152939 -10.058433917639391 -7.58925579541013 0.20137920664286318 -0.10762248034348842 -0.8176657384016416 0.5284756920622784
6 7.774337497783872 -10.93993650296608 -7.75093431219876 0.17909536597517445 -0.1717739743520867 -0.7513190372518032 0.6115049107607646
7 7.565732569801561 -11.991902647015426 -7.848080840938886 0.03060863705129267 -0.19507174195647442 -0.7039904293207659 0.6822078878558151
8 7.475098389468646 -12.940272343241817 -7.622473397091189 0.12318533081928515 -0.04387034034747625 -0.7796478530729252 0.612413253210214
9 7.466358255556638 -12.915364285680683 -7.618637155463674 -0.33246916850584285 0.6572801117451478 -0.5232744607198581 0.42852181444549714
10 7.022327967005363 -13.847806032854033 -7.915049891709986 -0.13039402887287066 0.7857419907966172 -0.43953029466759286 0.41523492290833214
11 6.960185200046862 -13.804823804590129 -7.865932167690241 0.2621643878065401 0.8730764657922248 -0.2702421776068023 -0.30980071673273074
12 6.285059700838661 -13.185211426012724 -7.476713421307254 0.05313289131048819 0.8466845752063654 -0.3050306324266985 -0.4327336816680355
13 6.277115411019761 -13.265530491026425 -7.516131980223702 0.5089601144456372 -0.6171595956027272 -0.0830475910185671 0.5942867431509598
14 6.493093801572996 -13.943008745264322 -6.8171178318576455 0.34779292497359077 -0.6032713641838686 -0.2179679569124135 0.6838082423117438
15 6.610533410935793 -14.632144956237164 -6.145319760727037 0.32741295156713124 -0.6498215624311652 -0.10901214631715607 0.6772363310550799
16 6.760967810889397 -15.23199368571954 -5.322894460676422 0.3334584686586619 -0.7161099582353524 -0.13611159488228392 0.5978842790495354
17 6.6697203061568775 -15.79013009825963 -4.629244833898142 0.5218452908434729 -0.6086467601444935 -0.06802523984357926 0.593800623555016
18 6.651285714835746 -15.827149164697996 -4.658455185916103 0.4924478503074479 0.15389917923795793 0.3922328395363292 0.7615533841739031
19 7.402413618192297 -15.074546109600721 -4.516168822580528 0.34642611565622267 0.29529128622882916 0.32372750042118115 0.8294531380010081
20 7.32972191404215 -14.996238370091593 -4.494209379928004 0.8599397322998684 0.3446013564962964 -0.005426792442820578 0.37646263006668457
21 8.128836825276796 -14.299024060079404 -4.730891030227443 0.885348076737075 0.34406969223599515 0.02326868936445599 0.31182270282622143
22 8.935178156423769 -13.655141005125333 -4.953816499204389 0.9030714053173513 0.38949332941648335 0.03284187345862028 0.17798425375840057
23 9.63510915422739 -12.94888510336172 -5.018145486710891 0.8469335357547619 0.47942482734732933 0.05235808286224934 0.2238616807225175
24 10.270123211225819 -12.071066850453295 -5.23242857859285 0.8554215743468401 0.5039938339342018 0.0323185529274748 0.11488975861647326
25 10.301119497581324 -12.078501123593908 -5.206004627660751 -0.561314940639874 -0.5578100263455467 0.3202583404068711 0.5207764465897731
26 10.375403099122007 -11.088243238211811 -4.97534108500271 -0.5551439573962672 -0.5954017912961161 0.2925883456458432 0.5017010598753162
27 10.375841733713678 -10.236495126581584 -4.735169519145837 -0.4637624863571545 -0.5127510309234089 0.338581433151055 0.6382580588290199
28 10.365730568891507 -10.301591964579892 -4.792320159307154 -0.5609191516611143 -0.13497320451324019 0.014638565312626979 0.8166625078750651
29 11.3176724276005 -10.064616209574195 -4.560124328025801 -0.5544531437749467 -0.18289053670167651 -0.010106856527359329 0.811807005632611
30 12.242595466598008 -9.853879037638537 -4.3612211153757015 -0.4762355765058126 -0.3589728778331005 -0.04250513614733799 0.8015806023423311
31 12.90183763372276 -9.598636734774223 -3.7607332615237272 -0.39634560572619554 -0.4099658566361564 -0.011706466464135718 0.8214019210210319
