# time x y z qx qy qz qw
0 -8.08568701344816 -2.668167880832618 -5.6765190431973895 -0.7071067811865475 0.0 0.0 0.7071067811865476
1 -7.052438401297177 -2.6877537105762856 -5.599286371263257 -0.6097363184205177 -0.08798411654339561 -0.046818191999310976 0.7863132163031389
2 -6.029650611822509 -2.6688817168213763 -5.377838588954358 -0.5950874561844843 -0.10183638014705995 -0.11817194547208965 0.7883753309647407
3 -5.099901040714535 -2.6856430093538037 -5.116688407083537 -0.5176210262188001 -0.1791848371208471 -0.3248825991703186 0.7709815588705802
4 -4.3766301297455295 -3.027628176677332 -4.450458190972622 -0.4094354928180625 -0.16761352878086114 -0.43593659888203196 0.783726715089912
5 -3.830923709950194 -3.587190347983678 -3.8381202068099163 -0.30205292348162155 -0.1852081128781522 -0.48186271295123884 0.8014176889784698
6 -3.3061426053976715 -4.248406585960199 -3.213439896665566 -0.4066619239709564 -0.27973374870533796 -0.39801128010828657 0.7732801111719233
7 -3.3679247969083232 -4.279265762746284 -3.1120097571458434 -0.07828379840004276 0.2304893752484695 -0.6273798194036327 0.739689703193641
8 -3.4505587111472273 -4.294643211491937 -3.135908436054891 0.5175211849078477 -0.2884040894245752 -0.417537418431257 0.6889538508380081
9 -2.9748992010874113 -5.171111830643461 -3.2640531896827025 0.5781978887106682 -0.14685963206554722 -0.4145138523522752 0.6872391986551509
10 -2.3072231677385706 -5.853157253535105 -3.430680740046277 0.5588823859295259 -0.1678315484891016 -0.37149697622434663 0.7221309068899061
11 -1.6291371325719985 -6.5528622317468 -3.556485907463581 0.6142907888125486 -0.2837022929481666 -0.3989327715330448 0.6188800203213648
12 -1.6516410663169112 -6.568556194464773 -3.601166819551474 -0.14892936290798217 0.6359308239957002 0.7014418983172008 -0.2852915968638644
13 -2.4545079764915827 -7.146070746729363 -3.397713513149471 -0.28711250308380715 0.5951794290069088 0.6915632371607119 -0.29166444224100707
14 -3.0561041365850965 -7.901409590289225 -3.4853969845612136 -0.26159558463233734 0.6841380876718544 0.6554119287552661 -0.1842770488771344
15 -3.8416237537343196 -8.580227836433364 -3.5744116398350796 -0.22859993823730568 0.6773382907290328 0.6863118318088228 -0.13390660054452266
16 -4.778260991071132 -9.132770564244446 -3.753581237646664 -0.3044513142063046 0.6253035969811501 0.7164947622575163 -0.054222361973954546
17 -5.513031899067005 -9.575712706930892 -4.14272966763228 -0.2952717563837416 0.5663846520248433 0.7688948952678663 0.028699405286075463
18 -6.338776725667628 -9.967709647520563 -4.704036823864607 -0.4406942786994697 0.36433403455510793 0.8030812321188012 0.16765977038305763
19 -6.361906971870887 -9.93915111069487 -4.737322880287627 -0.21274208211392032 0.791065648951423 0.26716320000881116 0.5075231719911414
20 -6.757727550782872 -10.051380514134495 -5.695793817223867 -0.11871357966277951 0.823011182728717 0.13906581167686724 0.5377921337559529
21 -6.833118223564341 -10.023432167588787 -5.7064031151218195 0.04475408529700301 0.1885419877948648 0.1256462514298331 0.9729655750278222
22 -5.838858376706312 -9.786712751154502 -6.075780279388482 -0.029538300087177335 0.14727469130114754 -0.05681567964855574 0.9870205837145365
23 -5.838505315291415 -9.821857357117446 -5.992440895527737 -0.6506744014332361 0.15883599091792566 0.08548968567294414 0.7376214916555522
24 -4.848914452329468 -9.906870901512708 -6.329202806385182 -0.7671217560782194 0.18391874811982178 0.03971886784459141 0.6132866515575325
25 -3.887135317151176 -10.11010920036274 -6.671014869282681 -0.7961672246928504 0.1993173784024582 -0.03568384190785665 0.5701903159633203
26 -2.954413113329597 -10.459433433790135 -6.972934442337229 -0.8574202273201506 0.0587146710870744 0.037778360833997875 0.5098587418433609
27 -1.9213960151666576 -10.630205735827584 -7.040040699985724 0.8951842106973853 -0.14465842760394323 0.05720766653125568 -0.4176678717968414
28 -1.859272338777014 -10.658391954019313 -7.050643849524726 0.786086907712617 0.401637877286288 0.4334485781614483 -0.18131938435147818
29 -1.4688547424727216 -10.191657176930354 -6.242570152068088 0.8387627930236238 0.30925866846422795 0.38745251166064176 -0.22520347294569554
30 -0.9965240023467523 -9.7929877199244 -5.392351435340693 0.8275152755850146 0.255698343155253 0.37838986103799993 -0.3265852707100535
31 -0.4241672005857816 -9.661632704188229 -4.55979879454352 0.8127060296063744 0.2264264362561431 0.3011967776754602 -0.44443276153283867
32 0.31128771526591703 -9.572699890520106 -3.906946881145096 -0.7282100645253662 -0.13112725773635076 -0.24211434595819267 0.6276116535595431
33 1.197707487166082 -9.6782744468944 -3.399412102122828 -0.6216048136323081 0.006561902601142852 -0.26144240978467453 0.7383849019782156
34 2.029769942015154 -9.995220877323955 -3.0582104328316406 -0.6569760303968024 0.03293539750178737 -0.29488589165884105 0.693065701052959
35 2.865178609035269 -10.353061079094044 -2.6347956192473476 -0.6368923546585068 0.04290198652867389 -0.23758995085278717 0.7321738614449484
36 3.771399823944137 -10.795353548887732 -2.392679651097285 -0.7353245400583674 -0.06124520432794571 -0.2489360233662002 0.6273577145500014
37 4.7303276807611665 -11.063537061250608 -1.9795378214930743 -0.7315674927435932 -0.05051167206451214 -0.29986221178152767 0.6101968768287741
38 4.736533158051094 -11.038671716389851 -1.9738551477289967 -0.5012636262713711 0.5775430304913451 0.17246553127510386 0.6208336858049381
39 5.052353659248984 -11.392165475333668 -2.8598116664906863 -0.502804954388825 0.6069132920265784 0.22085176007418442 0.5745153904602102
40 4.999830819388951 -11.43655099407512 -2.8052239538823196 -0.13153477130148863 0.14506876173886113 0.5310000821128766 0.8244346979005293
41 4.949048302374571 -11.358463260639072 -2.8463801096600623 0.06453740880274093 0.1648083214534586 0.9829157431465217 0.050495365326357046
42 4.036601657117502 -11.238316422736892 -2.7338197800248056 0.1321443254220453 0.17444441306367123 0.9757418141846333 -0.005910673506841651
43 3.995994353654647 -11.213932241878034 -2.721381164079229 0.7733041453406811 0.24762655555215995 0.5741500085872059 0.10504073221185829
44 4.289766037005957 -10.75565742643091 -1.8521714057532364 0.8035735926278343 0.21008579814283682 0.5370857682184662 0.14721520379044659
45 4.646248669508242 -10.210009076524319 -1.1044894114562873 0.8517486254882692 0.07337706931979286 0.501620000026878 0.13235354264211205
46 5.120607121756858 -10.02672392682441 -0.2727406825779508 0.8990465125520157 0.062246493577232075 0.38723672699105577 0.19464958149107978
47 5.796043197839612 -9.783829401021297 0.3533403245902821 0.9336722711127559 -0.12566315203324338 0.2963761105178747 0.15692693679070943
