# time x y z qx qy qz qw
0 -8.08568701344816 -2.668167880832618 -5.6765190431973895 -0.7071067811865475 0.0 0.0 0.7071067811865476
1 -7.081373331024366 -2.678871550996702 -5.71736383624197 -0.6968634402137711 -0.10718965850045742 -0.018711376684211883 0.7089016907770531
2 -6.038055763249057 -2.5824031303299746 -5.5225403037749095 -0.6894710480162788 -0.06389855713741452 0.005445243849411707 0.7214686394172038
3 -5.002469115597597 -2.49820745811854 -5.4099935069291725 -0.7080816913187935 -0.06788769545058865 0.00886565324225285 0.702803656377877
4 -4.049544101936398 -2.466178104615377 -5.325853193891246 -0.7023981609300842 -0.018351488604789294 0.05664256073810925 0.7092895506780382
5 -3.1047507930827782 -2.3239781756895623 -5.423773627929266 -0.602002422552682 -0.03480229150538984 -0.08575944148258875 0.793112351400021
6 -2.1215585661148992 -2.3836597141914186 -5.369492065276988 -0.5780358818505715 -0.05001076000985808 -0.13329665856576273 0.8034957647627466
7 -2.248203928911769 -2.4038649833468866 -5.346583797249313 -0.27359713002271596 0.527461573573861 -0.49615451756301093 0.6330557586406866
8 -2.2445738142342244 -2.3849435005630175 -5.244204542288308 0.24501168723667816 0.06448231933265001 -0.6767316513458422 0.691263752613753
9 -2.2246126891255686 -3.456659430227475 -5.7135503427626935 0.17515666421130133 -0.17516480099724346 -0.7706773666400993 0.5871063208845974
10 -2.435442043494077 -4.372105278800793 -5.783861561066873 0.28469510847125423 -0.28400239227387225 -0.7621340851961695 0.5073883843540931
11 -2.7664230722271492 -5.265965905259883 -5.838614645092994 -0.3590086324022673 0.19993234102365764 0.7860371949751546 -0.4618283111601587
12 -2.743579082089068 -5.312369211336731 -5.862308673796928 0.2479990247240762 0.5207188423706134 0.7710409042388594 -0.2698968227427611
13 -3.4804553101000577 -5.484074529695607 -5.10725558999948 0.21652310797677946 0.4852155152193645 0.7954726294615465 -0.29138796008074136
14 -4.192785007037214 -5.734275954703785 -4.4440020883620175 0.10405091822337041 0.4923386453104834 0.8035290767783284 -0.31798913113890975
15 -4.978840306927806 -6.125941911343752 -4.031518892588596 -0.0260198546921924 0.4885372822354212 0.7532832157513559 -0.4395664772194551
16 -5.533753935084483 -6.792376567037816 -3.647245874018128 0.2088672847474044 0.3826658890169869 0.7797137840999531 -0.44943040576892157
17 -6.04566026708224 -7.367041762791392 -3.0525040107210417 0.2071306460415405 0.35044217938326433 0.816906226383746 -0.4085968571526095
18 -6.583686917259943 -7.938679854598787 -2.5106398998810358 0.2885094959282437 0.471148740463931 0.7690182204189224 -0.32154643798710575
19 -6.565794603090047 -7.994570466447708 -2.465853932466606 -0.029513003843212114 0.8783230722661434 0.2565939576339456 -0.40228982616375286
20 -7.327314882056244 -8.25964778684225 -1.773183964244722 -0.0070200661818360585 0.8603882143802305 0.2827155860762245 -0.42397492451320484
21 -7.373496412113119 -8.284255381927222 -1.827185684229074 0.037012009164781416 0.8755038368560272 0.21370589329455622 0.431801961550821
22 -7.965818676307911 -8.11152670130062 -2.571483539779364 -0.06862503403211422 0.8836221750023108 0.09607200694568442 0.4530702219631136
23 -7.944129341246945 -8.119083444501833 -2.5401317253460722 -0.3542865808253239 0.5263620278483379 0.7574467640114686 0.15394295688676815
24 -8.639230362925536 -8.296221015893238 -3.2248051031784035 -0.31146012201034795 0.5646042020662034 0.7554282910124138 0.11637347010615627
25 -9.541692898558047 -8.566433644275556 -3.8498559169856925 -0.3868998786556575 0.5967097190418639 0.688181974317192 0.14370652498097977
26 -10.19557045325229 -8.837934374133487 -4.634638849914447 -0.3122968359336558 0.6130595518499296 0.7033198851314382 0.17880103839209496
27 -10.92110511440344 -8.996858178222562 -5.162861884970799 -0.31249414652526786 0.6796564257097747 0.6490540445837099 0.13835967110536793
28 -10.85296756250908 -8.980032884731042 -5.193069582458838 -0.6823096158502023 0.35393999127289 0.36974299771832364 0.5219867683518076
29 -10.45901133862035 -9.014725146027171 -6.0587956838825825 0.6990325399287776 -0.4120100548667488 -0.4516614919009564 -0.3709489446584565
30 -10.138117762971143 -9.246091751079998 -7.008316365982733 0.7627837068065615 -0.39499779453760264 -0.4081515707749756 -0.3091117180159812
31 -9.720124760228622 -9.633146587188048 -7.8780846186378115 0.7274595497098026 -0.39097795135807734 -0.47456134619601004 -0.3045166231660966
32 -9.50392197671911 -9.995463727056388 -8.782319452158378 0.8165151832814942 -0.1980289052535126 -0.40931659427328176 -0.35573506125683596
33 -8.863306271842443 -10.025035449640217 -9.609673626857827 0.7443208069314086 -0.24713456591761182 -0.5013318591943655 -0.36548243412565135
34 -8.508343895257026 -9.942623710476557 -10.548338987708714 0.8063315386786842 -0.22632197395231354 -0.5202505694111131 -0.1671740376547931
35 -8.178054244003091 -10.193703804617618 -11.469681049056602 0.7040599732607633 -0.19183117241946201 -0.6702499284169182 -0.13514950535367767
36 -8.032019571277413 -10.349456004040375 -12.439966382398348 0.6966265832906982 -0.14519725531884062 -0.6923380892951508 -0.11957060931409057
37 -8.051391360135824 -10.370390710490671 -13.424387601610267 -0.6608209216299389 0.17737565250307816 0.7174021566469472 0.13110199492598967
38 -8.002702469842989 -10.353520898486249 -13.419882844408932 -0.49586878429482867 0.516356984390812 0.593315510499847 -0.3680574933799078
39 -8.236117522641802 -11.299064941932253 -13.712715198037996 -0.5601953012393598 0.4630141128645699 0.5949878146441694 -0.3432035200613965
40 -8.341952933988333 -11.352148806296734 -13.662189013608984 -0.07641432261839883 0.6741185689219117 0.734629108734099 0.006714084746874193
41 -8.291385505415509 -11.342942979210816 -13.537062614304466 0.5323674067416498 0.4974699032955864 0.4734420423465751 -0.49493562419061526
42 -8.253567828681009 -11.291150222926369 -12.512289227184436 -0.5433488716781164 -0.43947464977387446 -0.49620173095228703 0.5151872262121805
43 -8.192944156317614 -11.292047301903485 -12.503407164317302 0.6708085500862339 0.7372406659517955 -0.05355257155844965 -0.06020142587708651
44 -8.267118382490565 -10.374229362313777 -12.433368163236093 0.6038938834891246 0.7682420490131799 -0.058359624904977966 -0.20423145152841715
45 -8.470270682459741 -9.402930737533312 -12.189854576284503 0.4917576364169844 0.8117090852164853 -0.055190639183923106 -0.31025277009088453
46 -8.703180382158108 -8.496492582008162 -11.764157205439451 0.5105318698697782 0.7927394454592965 -0.1683248065276731 -0.28738152509786713
47 -9.002425554828134 -7.6200988693714535 -11.440166625730983 0.39250142183968806 0.8473440707450351 -0.29071466432921 -0.20841219631060623
48 -9.568563260644257 -6.86437920131086 -11.342864705917027 0.39501174424610697 0.8435860774016256 -0.26541485906596 -0.2487633504131651
49 -10.113383903967739 -6.06016291973331 -11.173829040375207 0.5386122526810047 0.765489752869118 -0.3081543288475255 -0.17018574889455632
50 -10.099677666818616 -6.001149793203029 -11.218004101192037 -0.12200031640229396 0.9625958019192575 -0.20672606553815312 -0.1256565905644294
51 -11.037177286079306 -6.1827585703624965 -10.95846802792145 -0.11107459452691343 0.9497294265611689 -0.2906826246923954 -0.03435203744197517
52 -12.018363659824155 -6.368215859933053 -10.90377331526177 -0.1842718495933134 0.9421035671449125 -0.2755142406172439 0.05076078641425752
53 -12.938944453768633 -6.694536367140555 -10.877851431374372 -0.16387743642501904 0.9617432254233916 -0.06273636037684857 0.21037657490709577
54 -13.773382024162533 -6.9713374422131 -11.288241863463002 -0.1278002190184953 0.9807692503533286 0.002930749521051893 0.14747946395155864
55 -14.734702994362255 -7.329693198567229 -11.572486935627271 -0.04978185331553371 0.9755868542746868 0.015889665276984394 0.21330629476008617
