# time x y z qx qy qz qw
0 4.009022915142204 3.178838459717941 -8.996194714202867 0.0 0.0 -0.7071067811865475 0.7071067811865476
1 4.061433375820168 2.1309355890913224 -8.99113918173017 -0.07521663509910413 0.048331533527165904 -0.6767263270271636 0.7307858776547375
2 4.102235488066982 2.122310094478662 -8.949455302545884 0.6018375066459845 -0.5536081551188308 0.436488851594171 -0.3752160825631959
3 4.050412167269455 1.1691780365657976 -8.87851588927872 0.5782692092302328 -0.5547639035682962 0.49089138313240005 -0.3418587177771928
4 4.017291266413312 0.20604760701793656 -8.65901139693634 -0.5379613398053958 0.5746859645742275 -0.5192746827607855 0.3326972239737789
5 3.863709456186897 -0.7129323363863103 -8.467887358095087 -0.5237874704978182 0.5856087689181703 -0.4471086142587063 0.4275546077067838
6 3.8287088029310956 -1.766798043099272 -8.482094117248268 -0.5364531469291344 0.6414228104325743 -0.43772002982788705 0.33044814251873195
7 3.8554301270071236 -1.7996330612386815 -8.500197639490239 -0.015846168327098516 0.7151470306029258 -0.6829733896266222 -0.14785456581076303
8 3.8625473437217863 -1.7964918150081775 -8.45070880987936 -0.43403630226860324 -0.4990842197024661 0.5895368028012474 -0.4636526588944156
9 3.606201537363838 -1.956457740302766 -9.460312624801444 -0.4784762576312117 -0.4663155074389767 0.6024516108831117 -0.43664902948421136
10 3.424786264660307 -2.041272290885886 -10.473789817784647 -0.4149656394436262 -0.5270093279232547 0.5796629136738238 -0.4626614235855361
11 3.4180850547205774 -2.080896026423844 -10.419888732242224 -0.6816792525072192 0.15409532766528214 0.7136225502129873 -0.048071639460713245
12 3.316748162831358 -2.3745287412366642 -11.349357213048549 -0.6267326846649391 0.17623071396246692 0.7558183815977001 0.0699103101694619
13 3.304122999118441 -2.4234343279912145 -11.34437928274884 0.9649958215101208 -0.16671085843901465 -0.132064053326055 0.15345891947236842
14 4.268157448259104 -2.7646661379887636 -11.521060753000025 0.9508586708655092 -0.1679133382937714 -0.21839909934841337 0.14133199307559763
15 5.136989900112293 -3.1531550309896197 -11.954305012435894 0.9471282183122488 -0.12262286271559333 -0.295436662533824 0.025078876509394395
16 5.081997530966615 -3.0880875718901843 -11.969508447984088 0.7586267840090413 0.5810000520208108 -0.15719158657087445 -0.24942964388228964
17 5.3809766997873725 -2.1836744900129252 -11.921867598107685 0.7344835248812653 0.6449566116089676 -0.16032240899618633 -0.1373377078355786
18 5.369214490093085 -2.2256839542070304 -11.853515881682016 -0.003979052256462995 0.9511330712680364 -0.0851752625762609 -0.2967746999466732
19 4.56780871507371 -2.1895453678718124 -11.313207591095358 -0.09374582041728628 0.939056542690121 -0.0851680047913799 -0.3195793199583203
20 4.610997170880414 -2.228163851305487 -11.308838032167445 0.06014102860887034 0.7671298755007782 0.5745691047896581 -0.2788640432419329
21 3.821534777964784 -2.451221935932657 -10.788830522940938 0.034079838540206187 0.8085320708045123 0.5648566260725957 -0.1614046067109742
22 2.9187535016027177 -2.5400910375258605 -10.515274031975373 0.0904975653190987 0.820548505585574 0.5562283558411378 -0.09550055921753123
23 1.9909728031320237 -2.5575227790417645 -10.29320968170996 0.15164415075891677 0.7543077640599076 0.6178868365506563 -0.16198674586820966
24 1.1154085484479117 -2.527585634226641 -9.818384577416897 0.11037380069850003 0.6805395598756321 0.69229974786568 -0.21308352979234352
25 1.1527056216919174 -2.5394971233199657 -9.854993193020276 -0.6386385057725417 -0.3368463130049288 -0.30120793557503994 0.6228556814433207
26 1.7587621555669313 -2.5023444422506738 -9.064639307648058 -0.6258535964703542 -0.3499905900003122 -0.27025705653303916 0.6424756696486289
27 2.396186213015174 -2.359289643403763 -8.240540524681055 -0.6514534761288698 -0.33335352491552206 -0.2978714007303876 0.6129897425674639
28 3.0378989736211066 -2.3187752203124306 -7.445402909731492 -0.6039693285285871 -0.43810453684071726 -0.23586930025154465 0.6226163651841762
