# time x y z qx qy qz qw
0 4.003021115698299 3.150004183914178 -8.986743993864362 -0.01232960978970267 -0.012745719666810845 -0.7145070361266489 0.6994034763125793
1 3.8518568662304835 1.3661983999560476 -8.74710828257713 -0.16110900813939388 -0.13795016438651578 -0.7101338520219289 0.6713594803490684
2 3.728835501729551 1.0356723195355146 -8.676142254588916 -0.6051869433498532 0.729891667194084 -0.3092496194902766 0.07329113592121042
3 3.337261488518413 -0.21247855872256582 -8.33604839032667 -0.5627078921081827 0.8009674738458182 0.09128693378454276 -0.18296893102499825
4 2.9682234710200444 -1.4140072244056714 -8.071054091119754 -0.43661045612112115 0.6423421394228611 0.44586565998630756 -0.4449401069496243
5 2.6056352726478673 -2.645461129082259 -7.770970544699835 0.04351621184476772 -0.3848218733479843 -0.7059416707456362 0.5930133410004258
6 2.2356078686026297 -3.8049943214837354 -7.368347171420995 -0.4397334343713728 -0.1508211361438517 -0.7229635798384875 0.5110882055138349
7 2.1179035803521282 -4.1216145848854415 -7.32229713455325 0.058889547573633606 -0.5210726647513904 0.8440508315325421 -0.11222073348843342
8 2.0016972289218913 -4.4674194955308275 -7.28782120034517 0.38133282460297263 0.446825972298964 -0.602622160076703 0.5401651224800559
9 1.8823643285507452 -4.8032059762486154 -8.285658054749158 0.37384620470443686 0.36941372009261864 -0.6276529760347024 0.5743032825173484
10 1.7263948385538692 -5.340059389487848 -9.22118417075337 0.41478790781233854 0.40498428467075787 -0.5699033757673577 0.5823648881855338
11 1.673648965334985 -5.347152126614814 -9.244417549412344 -0.6920510855021583 0.18615201166035392 0.6932161025665171 -0.07657779542775953
12 1.68650328413963 -5.711925389524846 -10.156566212224368 -0.6918391774677479 0.17292256083283392 0.7010390082505111 -0.0008058454593518301
13 1.7273795701465546 -5.723841497913822 -10.206830309374558 0.960253359487455 -0.17392214144467993 -0.050442049557858144 0.2124150982033897
14 2.6607554154130826 -6.1457837509310105 -10.252755846374708 0.987992896609052 -0.08058385720485138 0.015179744271642292 0.13094217644399808
15 3.653329078391293 -6.293659166029402 -10.14214599410717 0.9890939607615337 -0.12554196429964395 -0.00704726017796437 0.0766986838794043
16 3.631477142502066 -6.334441018712878 -10.11682339919501 0.7489680874110084 0.6600340859603504 0.0015375096947050555 0.058304763736066814
17 3.772772860390646 -5.349281826833658 -10.138593964032381 0.6905273033546548 0.697970675823779 -0.11173915801757522 0.15337320358318599
18 3.709559203551956 -5.282355055602715 -10.189157106631543 0.000828163526407918 0.9726313656976242 -0.19625505932664003 0.12438445359065158
