# time x y z qx qy qz qw
0 4.009029412265046 3.1787608834519183 -8.996176499140601 -0.00041749074462680397 3.956416795212315e-05 -0.7068474672368503 0.7073658757651543
1 4.014641921346409 2.2145130436191183 -9.101589235217666 -0.07904091272432977 0.12018918540066867 -0.7619947162279898 0.6314041069466167
2 3.990287705130991 2.1688481004599423 -9.214298206059071 -0.3735326140380035 0.7150139890902172 -0.4986935344810816 0.31706961431521147
3 3.47650993179433 1.3125243700857991 -9.371170997470529 -0.41710463325815406 0.7925562803820478 -0.3942281465000935 0.20606415469133382
4 2.917331487960866 0.49898032989148916 -9.305383052007485 -0.5407059939491772 0.6866828652571302 -0.43625114852071645 0.21398272379808114
5 2.5124592487802304 -0.5080885828251391 -9.129059850947842 0.6479599656598912 -0.6186996671611132 0.338250500251388 -0.28800208998624766
6 2.5289498655872396 -1.5729702740122038 -9.038574249192084 0.6697583390353004 -0.6312313624805902 0.29248758674828884 -0.2596569773985192
7 2.493668270491504 -1.438889350587161 -9.048508333399598 0.3209530539865757 -0.6387829878950512 0.6666855141683811 0.21089299824935498
8 2.5217306957622596 -1.593693150008477 -9.00754814616681 0.20739935606487128 0.6132085960241463 -0.5836436806995764 0.4902252327710423
9 2.1516797721137206 -1.8650214454687748 -9.846047299829257 -0.27582758940761426 -0.5334155022312923 0.652422550734262 -0.46231142987635765
10 1.6593651131761604 -2.1596999425744583 -10.667909654539482 0.1349207612810469 0.5017142284740757 -0.6444723657581791 0.5610121129673232
11 1.6758002320256535 -2.1169595450345473 -10.717793484789064 -0.46094516306315664 0.13081000844808072 0.8232134832362095 -0.30452891382691333
12 1.3698214065062597 -2.7189322162105807 -11.43120410759416 -0.3709780702969983 0.047488911787019354 0.8461578667380315 -0.3796537095477194
13 1.3631070193651182 -2.658184807758311 -11.364398459906383 0.8566417899657227 0.2672853281003523 -0.30708785725004395 0.3168918506307572
14 2.039449826215577 -2.286843216234892 -12.02242570799328 0.9089065243313843 0.26081303938053335 -0.2721422746135825 0.1783369588309644
15 2.8196042458810435 -1.9194646439897443 -12.620149302919378 0.8587402837084409 0.39560396983737073 -0.2991802445423395 0.12866159279616057
16 2.825313068048272 -1.9395796538547583 -12.724832540489006 0.34854323944526533 0.897178149165459 -0.2424278396316407 -0.12172806360316853
17 2.15473671731147 -1.2228831453542646 -12.572588759827752 0.20452353979966828 0.8939259215513768 -0.38121205450024226 -0.11723454247805784
18 2.1099534549929904 -1.3024114164046077 -12.558443663975643 -0.5025681003794706 0.8250188971375025 -0.14429427854852767 -0.21435551083457008
19 1.640665756387997 -2.0509297574033285 -12.093174736802728 -0.4788853355716331 0.8525651432783586 -0.12837773156648477 -0.1652896544827894
20 1.6388985538295264 -2.0369367800350666 -12.138425474044759 -0.13641411942649445 0.5985610051377506 0.6679617745115434 -0.42064590683967157
21 1.0250899991240687 -2.862752925648149 -11.747892215550879 -0.10559320583834823 0.6797555431049752 0.6464698173321326 -0.32993825449226116
22 0.2922921306050406 -3.4213934667813564 -11.399347296858942 -0.07931203388551543 0.7481559143996785 0.5846044960504956 -0.3036608506661181
23 -0.5454753737835808 -4.032119749870842 -11.099162048771163 -0.05781709669059378 0.8192775651335276 0.5363408570537349 -0.1943706244626864
24 -1.460839030599441 -4.452920688489339 -10.820945848800934 -0.05348334924797715 0.6580867649386661 0.7023088122616186 -0.266127175210378
25 -1.3737131533081224 -4.425819282881913 -10.814550522297882 -0.5036831912836578 -0.5583543273091488 -0.3586888062989982 0.5530696413918053
26 -1.3005323220474756 -4.305429974228721 -9.763143577788812 -0.37375560650331485 -0.5453332817215547 -0.4437801959209806 0.604960739356262
27 -1.220367128282504 -4.4670785072507835 -8.755086562812147 -0.3739677721604764 -0.5004194999289333 -0.383030135602676 0.6804530437116154
28 -1.040863351436025 -4.563857955154422 -7.826550206913079 -0.4840753878307301 -0.5198248427812808 -0.3259145244571013 0.6238853055424898
29 -0.7981141753076643 -4.404082352052805 -6.846035772124373 -0.5308606825254268 -0.5407025464133222 -0.2916366838736529 0.5837599992034123
30 -0.5639674368994005 -4.140933366041205 -5.857665959343383 -0.5639407885909321 -0.5276062486985935 -0.3753330068731155 0.512569573081765
31 -0.2751261625607437 -3.8785742451368184 -4.852068743791391 0.5611464840771759 0.5493928861171691 0.4349311051849929 -0.44058712399959277
32 -0.22996812532606198 -3.615213882999749 -3.838426650653282 0.4821066253252924 0.5703321253250606 0.4425833894563787 -0.49640146254514683
33 -0.314478097202719 -3.5291992007578563 -2.8519917940875104 0.5232781768820705 0.5407352296780076 0.4372312280841108 -0.4925588433599669
34 -0.27096988680145645 -3.4391093751981825 -2.8673488589227007 0.7771444257721544 0.0973454018668518 0.6211113228272399 0.028127191158126823
35 -0.0736835737812795 -3.2527139954177793 -1.9034574082884106 0.7927802090231819 0.13044245035489177 0.5953635101949316 -0.005157330214444756
36 -0.011866755037362842 -3.267404345654987 -1.7687608685127836 0.6106880918778781 -0.3952227587226842 0.5015167706943012 -0.4683374361916273
37 0.10726818391776922 -4.231999299672354 -1.498854998666161 0.6233909317182639 -0.4211838778789447 0.5120578133630437 -0.41446915812898294
38 0.1295495912454502 -4.234174930382912 -1.435814408381077 0.022134395620575394 -0.6062984549774195 0.7949289501645882 0.0004649868078832827
39 0.1532367877573766 -4.2508367023468026 -1.4237173366941063 -0.07069412799962015 0.9832362180712594 -0.12910051855027282 -0.10761940275503704
40 0.2260863175656164 -4.2672043290147705 -1.3454432555231655 0.7643583494422052 -0.589065407221725 0.17223787276096214 0.1977179173455701
41 0.41351623419501765 -5.177764902245885 -0.8621102696081183 0.7772664227783648 -0.5440805895553861 0.16503673133461652 0.2694366296567229
42 0.7171100842564445 -5.924196077269926 -0.29611367656615617 0.7046080656018789 -0.6142166096450651 0.21977981516403647 0.27921723294123874
43 0.723121042489404 -5.925034604887524 -0.29371949199238456 0.38138387947523633 -0.178183908451459 0.6979206641401317 0.5793993250009699
44 0.5982621484994378 -5.24994621761232 0.4943667508120819 0.4568094321570204 -0.2409404366556626 0.6839327381717177 0.5152755169164327
45 0.5330553725769248 -5.243789960103433 0.4581127208262556 -0.16056688812009973 0.2950786296724536 0.740623669573579 0.5819136162846009
46 0.31189464418502166 -4.456555382724389 -0.12798080797937314 -0.14665769991733124 0.25551900282868856 0.7379924504787719 0.6070985927217482
47 0.07192464529181311 -3.6582125607827907 -0.628611626520855 -0.10482863205001054 0.16944510570099788 0.8173399421456047 0.540605894372157
48 0.07393403069238946 -3.685114133838508 -0.6537110253960061 0.3378004374038518 0.6825440006092174 0.42824962933397454 0.48644301485111696
49 -0.23500406577398722 -2.7837397362659053 -1.031753438612777 0.4179600593683475 0.6801072602461048 0.399894356445826 0.4503865084748017
50 -0.41376110902273316 -1.8523239921055448 -1.361014105371854 0.409717418556623 0.6095420154725336 0.44490704694385236 0.512491841773778
51 -0.5298016121335083 -0.843599127674151 -1.630369953617056 0.5578545867177304 0.5156458363676395 0.40255684728353247 0.5107402629711626
52 -0.37147756922720077 0.05041830914069184 -1.7651317147252583 0.5577418620773457 0.5010031032691197 0.5018887230105125 0.4313091878410243
53 -0.35455457041652333 0.057465080728299534 -1.7600796708458148 0.7834533126658124 -0.14295035638849984 0.5945232753622758 -0.11094222610835383
54 -0.41181617513730523 0.03589920879858857 -1.7776496490919211 0.9396042698355829 0.01575363252029033 -0.12091237634925582 -0.31980593555269227
55 0.5069267852537063 0.1513188752208613 -1.9841959583630449 0.8823835400885445 0.13719175309939277 -0.20870905446916416 -0.3987709137398445
56 0.5587979780196591 0.1486465266859358 -2.0431688789139892 0.9477020136953803 0.19067627666329331 0.08160670243672725 0.24257740387956078
57 1.4179429707100144 0.4798585541120713 -2.015958228612879 0.9534540607005375 0.1994359224620572 8.592276618307604e-05 0.22616511575095305
58 1.4154785102521874 0.4904989506898181 -1.9629514164431399 0.5514762130094134 0.8240581006745551 -0.024421433565993134 0.12730210830941527
